subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue	onset	duration
MRI_faces_116	2	5	2039.jpg	2.396171	12	999000	120	999000	999	3.413392	750	750	5	35	0.81	2.396171	1
MRI_faces_116	2	5	1183.jpg	7.396018	24	999000	240	999000	999	8.412679	750	750	57	20	0.17	7.396018	1
MRI_faces_116	2	5	1073.jpg	9.395984	24	999000	240	999000	999	10.41389	750	750	50	11	0.23	9.395984	1
MRI_faces_116	2	5	1013.jpg	12.39651	24	999000	240	999000	999	13.41343	750	750	44	2	0.33	12.39651	1
MRI_faces_116	2	5	2058.jpg	15.39614	24	999000	240	999000	999	16.41394	750	750	47	40	0.24	15.39614	1
MRI_faces_116	2	5	1226.jpg	22.3962	22	985.6986	220	751.8159	98	23.4151	750	766.67	43	27	0.35	22.3962	1
MRI_faces_116	2	5	1255.jpg	24.3819	11	971.9955	110	751.6533	98	25.39878	766.67	766.67	16	29	0.7	24.3819	1
MRI_faces_116	2	5	2155.jpg	28.38267	24	999000	240	999000	999	29.39959	766.67	766.67	39	51	0.4	28.38267	1
MRI_faces_116	2	5	2043.jpg	30.39628	12	999000	120	999000	999	31.41294	766.67	766.67	12	37	0.72	30.39628	1
MRI_faces_116	2	5	1007.jpg	35.38394	24	999000	240	999000	999	36.4007	766.67	766.67	40	1	0.39	35.38394	1
MRI_faces_116	2	5	1130.jpg	39.3846	22	1022.301	2200	766.9288	98	40.40142	766.67	716.67	46	15	0.28	39.3846	1
MRI_faces_116	2	5	2010.jpg	41.39648	12	999000	120	999000	999	42.41317	766.67	716.67	21	32	0.61	41.39648	1
MRI_faces_116	2	5	2194.jpg	44.38551	12	999000	120	999000	999	45.40226	766.67	716.67	20	54	0.65	44.38551	1
MRI_faces_116	2	5	1204.jpg	47.38625	24	999000	240	999000	999	48.40279	766.67	716.67	53	24	0.2	47.38625	1
MRI_faces_116	2	5	1052.jpg	51.38669	24	999000	240	999000	999	52.40354	766.67	716.67	55	9	0.2	51.38669	1
MRI_faces_116	2	5	2248.jpg	55.38738	12	999000	120	999000	999	56.40425	766.67	716.67	6	60	0.81	55.38738	1
MRI_faces_116	2	5	2112.jpg	59.38814	12	999000	120	999000	999	60.40491	766.67	716.67	10	45	0.72	59.38814	1
MRI_faces_116	2	5	2209.jpg	62.39677	11	999.1307	110	766.9117	98	63.41347	783.33	716.67	9	55	0.78	62.39677	1
MRI_faces_116	2	5	2229.jpg	65.38922	11	1014.687	1100	783.6765	98	66.40605	733.33	716.67	8	58	0.8	65.38922	1
MRI_faces_116	2	5	1060.jpg	68.39688	24	999000	240	999000	999	69.41351	733.33	716.67	45	10	0.29	68.39688	1
MRI_faces_116	2	5	2045.jpg	70.39005	12	999000	120	999000	999	71.40683	733.33	716.67	15	38	0.7	70.39005	1
MRI_faces_116	2	5	1246.jpg	73.39062	22	966.2871	220	717.0324	98	74.40743	733.33	733.33	49	28	0.24	73.39062	1
MRI_faces_116	2	5	1127.jpg	75.39096	22	952.9426	220	733.5944	98	76.40783	733.33	750	48	14	0.24	75.39096	1
MRI_faces_116	2	5	2024.jpg	77.39127	11	952.6351	110	733.6014	98	78.40814	750	750	17	34	0.66	77.39127	1
MRI_faces_116	2	5	1173.jpg	79.39165	22	1003.306	2200	750.2572	98	80.40841	750	700	54	19	0.2	79.39165	1
MRI_faces_116	2	5	2053.jpg	82.39214	12	999000	120	999000	999	83.40898	750	700	4	39	0.86	82.39214	1
MRI_faces_116	2	5	2153.jpg	86.39288	12	999000	120	999000	999	87.40968	750	700	19	50	0.66	86.39288	1
MRI_faces_116	2	5	2149.jpg	88.39319	24	999000	240	999000	999	89.40998	750	700	56	49	0.2	88.39319	1
MRI_faces_116	2	5	2063.jpg	90.39354	12	999000	120	999000	999	91.41032	750	700	7	41	0.81	90.39354	1
MRI_faces_116	2	5	1192.jpg	94.39427	24	999000	240	999000	999	95.41108	750	700	52	22	0.23	94.39427	1
MRI_faces_116	2	5	1145.jpg	96.39464	24	999000	240	999000	999	97.41141	750	700	41	16	0.36	96.39464	1
