subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_131	1	1	2	1	1	2.030609	1146.jpg	1183.jpg	48	53	0	b	2	0	902.2	0.31	0.26	3.433388	2.030609	0.9022
MRI_faces_131	1	1	2	1	2	6.031371	2153.jpg	2063.jpg	7	17	1	b	1	1	991.4	0.81	0.67	7.51567	6.031371	0.9914
MRI_faces_131	1	1	2	1	3	9.015647	2110.jpg	2212.jpg	55	5	0	y	4	1	857.12	0.22	0.86	10.38237	9.015647	0.85712
MRI_faces_131	1	1	2	1	4	14.01578	1017.jpg	1013.jpg	49	44	0	y	2	1	981.99	0.3	0.33	15.49981	14.01578	0.98199
MRI_faces_131	1	1	2	1	5	17.01666	1013.jpg	1150.jpg	44	54	1	b	2	1	1079.1	0.33	0.24	18.60035	17.01666	1.0791
MRI_faces_131	1	1	2	1	6	20.01707	2153.jpg	1202.jpg	7	11	1	b	1	1	978.69	0.81	0.72	21.50091	20.01707	0.97869
MRI_faces_131	1	1	2	1	7	34.01964	1013.jpg	1035.jpg	44	46	1	y	2	0	855.12	0.33	0.31	35.38279	34.01964	0.85512
MRI_faces_131	1	1	2	1	8	38.02025	2045.jpg	1017.jpg	52	49	1	y	2	0	922.51	0.27	0.3	39.44954	38.02025	0.92251
MRI_faces_131	1	1	2	1	9	42.02106	2006.jpg	1202.jpg	10	11	1	b	1	1	926.7	0.73	0.72	43.45467	42.02106	0.9267
MRI_faces_131	1	1	2	1	10	45.02154	1210.jpg	2153.jpg	14	7	0	y	1	1	907.22	0.69	0.81	46.4329	45.02154	0.90722
MRI_faces_131	1	1	2	1	11	48.022	2089.jpg	2063.jpg	12	17	1	y	1	0	883.79	0.7	0.67	49.40569	48.022	0.88379
MRI_faces_131	1	1	2	1	12	53.02301	2194.jpg	2094.jpg	56	6	0	y	4	1	1207.77	0.2	0.85	54.73309	53.02301	1.20777
MRI_faces_131	1	1	2	1	13	56.02343	1210.jpg	2209.jpg	14	15	0	b	1	0	860.34	0.69	0.68	57.39048	56.02343	0.86034
MRI_faces_131	1	1	2	1	14	66.02514	2053.jpg	1017.jpg	45	49	1	y	2	0	851.62	0.32	0.3	67.37549	66.02514	0.85162
MRI_faces_131	1	1	2	1	15	72.02625	1019.jpg	2053.jpg	43	45	0	b	2	0	792.53	0.33	0.32	73.31681	72.02625	0.79253
MRI_faces_131	1	1	2	1	16	75.02672	1150.jpg	1183.jpg	54	53	0	y	2	1	955.05	0.24	0.26	76.48333	75.02672	0.95505
MRI_faces_131	1	1	2	1	17	79.02747	2045.jpg	1019.jpg	52	43	1	b	2	1	823.29	0.27	0.33	80.35012	79.02747	0.82329
MRI_faces_131	1	1	2	1	18	84.0283	1114.jpg	2248.jpg	18	8	1	b	1	1	731.47	0.67	0.81	85.26208	84.0283	0.73147
MRI_faces_131	1	1	2	1	19	91.0296	1146.jpg	1080.jpg	48	50	0	b	2	0	800.17	0.31	0.29	92.32998	91.0296	0.80017
MRI_faces_131	1	1	2	1	20	96.03046	2010.jpg	2112.jpg	9	13	0	y	1	1	747.34	0.78	0.69	97.26708	96.03046	0.74734
MRI_faces_131	1	1	2	1	21	99.03096	1019.jpg	1013.jpg	43	44	0	b	2	0	694.82	0.33	0.33	100.217	99.03096	0.69482
MRI_faces_131	1	1	2	1	22	105.017	1202.jpg	2209.jpg	11	15	0	y	1	1	779.84	0.72	0.68	106.3005	105.017	0.77984
MRI_faces_131	1	1	2	1	23	109.0171	2248.jpg	2112.jpg	8	13	0	b	1	0	863.62	0.81	0.69	110.3839	109.0171	0.86362
MRI_faces_131	1	1	2	1	24	121.0182	2010.jpg	2209.jpg	9	15	0	b	1	0	725.58	0.78	0.68	122.2519	121.0182	0.72558
MRI_faces_131	1	1	2	1	25	124.0201	2053.jpg	1146.jpg	45	48	1	y	2	0	1056.67	0.32	0.31	125.5858	124.0201	1.05667
MRI_faces_131	1	1	2	1	26	127.0192	2112.jpg	1210.jpg	13	14	1	b	1	1	1159.61	0.69	0.69	128.6861	127.0192	1.15961
MRI_faces_131	1	1	2	1	27	131.0198	1052.jpg	1019.jpg	47	43	1	x	2	999	999000	0.31	0.33	133.0203	131.0198	999
MRI_faces_131	1	1	2	1	28	137.021	2153.jpg	2058.jpg	7	16	1	b	1	1	735.79	0.81	0.67	138.2547	137.021	0.73579
MRI_faces_131	1	1	2	1	29	140.0214	1080.jpg	1035.jpg	50	46	1	y	2	0	823.34	0.29	0.31	141.3509	140.0214	0.82334
MRI_faces_131	1	1	2	1	30	149.023	2058.jpg	2006.jpg	16	10	0	y	1	1	722.83	0.67	0.73	150.2511	149.023	0.72283
MRI_faces_131	1	1	2	1	31	153.0237	2089.jpg	1210.jpg	12	14	1	y	1	0	818.04	0.7	0.69	154.3407	153.0237	0.81804
MRI_faces_131	1	1	2	1	32	157.0245	1114.jpg	2010.jpg	18	9	1	b	1	1	831.33	0.67	0.78	158.3581	157.0245	0.83133
MRI_faces_131	1	1	2	1	33	160.0249	1146.jpg	2045.jpg	48	52	0	b	2	0	901.83	0.31	0.27	161.4253	160.0249	0.90183
MRI_faces_131	1	1	2	1	34	163.0254	2045.jpg	1216.jpg	52	51	1	y	2	0	1017.31	0.27	0.28	164.5426	163.0254	1.01731
MRI_faces_131	1	1	2	1	35	173.0272	2010.jpg	2153.jpg	9	7	0	y	1	1	748.57	0.78	0.81	174.2776	173.0272	0.74857
MRI_faces_131	1	1	2	1	36	177.0279	1150.jpg	2053.jpg	54	45	0	y	2	1	924.83	0.24	0.32	178.4515	177.0279	0.92483
MRI_faces_131	1	1	2	1	37	185.0293	2089.jpg	2248.jpg	12	8	1	b	1	1	631.43	0.7	0.81	186.1515	185.0293	0.63143
MRI_faces_131	1	1	2	1	38	188.0298	1035.jpg	2045.jpg	46	52	0	y	2	1	852.95	0.31	0.27	189.3802	188.0298	0.85295
