subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_132	1	2	2	2	1	2.023509	1246.jpg	2010.jpg	15	8	0	y	1	1	779.01	0.68	0.72	3.300223	2.023509	0.77901
MRI_faces_132	1	2	2	2	2	9.024735	1145.jpg	2010.jpg	13	8	0	y	1	1	851.74	0.69	0.72	10.37513	9.024735	0.85174
MRI_faces_132	1	2	2	2	3	22.01592	1145.jpg	2240.jpg	13	16	0	b	1	0	872.56	0.69	0.68	23.39411	22.01592	0.87256
MRI_faces_132	1	2	2	2	4	26.01613	2058.jpg	1060.jpg	47	43	0	b	2	0	852.35	0.32	0.41	27.36634	26.01613	0.85235
MRI_faces_132	1	2	2	2	5	31.01614	1146.jpg	2128.jpg	45	54	0	b	2	0	938.34	0.37	0.19	32.46234	31.01614	0.93834
MRI_faces_132	1	2	2	2	6	34.01618	2125.jpg	2112.jpg	9	10	1	y	1	0	881.31	0.72	0.72	35.39967	34.01618	0.88131
MRI_faces_132	1	2	2	2	7	39.01619	1019.jpg	2194.jpg	52	46	0	b	2	0	817.24	0.3	0.35	40.33303	39.01619	0.81724
MRI_faces_132	1	2	2	2	8	43.01631	1007.jpg	1204.jpg	6	55	1	y	4	0	997.15	0.74	0.16	44.51644	43.01631	0.99715
MRI_faces_132	1	2	2	2	9	52.01636	1183.jpg	2194.jpg	50	46	0	b	2	0	774.1	0.3	0.35	53.29942	52.01636	0.7741
MRI_faces_132	1	2	2	2	10	57.01653	2181.jpg	2112.jpg	14	10	1	b	1	1	728.97	0.69	0.72	58.25018	57.01653	0.72897
MRI_faces_132	1	2	2	2	11	61.01722	1191.jpg	1146.jpg	48	45	1	y	2	0	807.27	0.31	0.37	62.31784	61.01722	0.80727
MRI_faces_132	1	2	2	2	12	68.01875	2240.jpg	2089.jpg	16	12	1	y	1	0	953.72	0.68	0.71	69.46892	68.01875	0.95372
MRI_faces_132	1	2	2	2	13	72.01929	2024.jpg	1246.jpg	17	15	1	y	1	0	822.18	0.67	0.68	73.33586	72.01929	0.82218
MRI_faces_132	1	2	2	2	14	78.02019	2112.jpg	2024.jpg	10	17	0	y	1	1	850.29	0.72	0.67	79.37063	78.02019	0.85029
MRI_faces_132	1	2	2	2	15	83.02111	1204.jpg	2248.jpg	55	5	0	y	4	1	812.39	0.16	0.76	84.33366	83.02111	0.81239
MRI_faces_132	1	2	2	2	16	87.02183	2128.jpg	1183.jpg	54	50	1	y	2	0	1021.66	0.19	0.3	88.5388	87.02183	1.02166
MRI_faces_132	1	2	2	2	17	90.02228	2181.jpg	1246.jpg	14	15	1	y	1	0	788.2	0.69	0.68	91.30602	90.02228	0.7882
MRI_faces_132	1	2	2	2	18	93.02289	1060.jpg	2043.jpg	43	44	1	y	2	0	870.58	0.41	0.41	94.39005	93.02289	0.87058
