subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	
MRI_faces_103	 1	 1	 01	 2	 1	 2.013671e+00	 2218.jpg	 2024.jpg	 16	 12	 0	 b	 1	 0	 1227.96	 0.65	 0.75	 3.748184e+00	 
MRI_faces_103	 1	 1	 01	 2	 2	 6.013758e+00	 1019.jpg	 1150.jpg	 45	 49	 1	 b	 2	 1	 1270.83	 0.31	 0.26	 7.780679e+00	 
MRI_faces_103	 1	 1	 01	 2	 3	 1.301422e+01	 1173.jpg	 1192.jpg	 50	 54	 1	 y	 2	 0	 1286.38	 0.25	 0.23	 1.479800e+01	 
MRI_faces_103	 1	 1	 01	 2	 4	 1.601711e+01	 2209.jpg	 1210.jpg	 11	 7	 0	 b	 1	 0	 1135.49	 0.77	 0.80	 1.764859e+01	 
MRI_faces_103	 1	 1	 01	 2	 5	 2.101569e+01	 2024.jpg	 2149.jpg	 12	 17	 1	 y	 1	 0	 947.92	 0.75	 0.65	 2.246605e+01	 
MRI_faces_103	 1	 1	 01	 2	 6	 3.101739e+01	 1150.jpg	 1007.jpg	 49	 53	 0	 b	 2	 0	 1184.21	 0.26	 0.23	 3.270119e+01	 
MRI_faces_103	 1	 1	 01	 2	 7	 3.401772e+01	 2209.jpg	 2006.jpg	 11	 15	 0	 b	 1	 0	 1364.89	 0.77	 0.67	 3.588507e+01	 
MRI_faces_103	 1	 1	 01	 2	 8	 3.701845e+01	 2181.jpg	 2125.jpg	 13	 9	 1	 y	 1	 0	 1194.14	 0.75	 0.79	 3.871438e+01	 
MRI_faces_103	 1	 1	 01	 2	 9	 4.602005e+01	 1246.jpg	 1173.jpg	 51	 50	 0	 b	 2	 0	 1344.54	 0.25	 0.25	 4.786456e+01	 
MRI_faces_103	 1	 1	 01	 2	 10	 4.902055e+01	 1191.jpg	 1007.jpg	 46	 53	 0	 b	 2	 0	 1005.06	 0.30	 0.23	 5.052094e+01	 
