subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
MRI_faces_115	1	5.331909e-01	2229.jpg	2128.jpg	58	48	u	0	1.237621e+03
MRI_faces_115	2	4.020407e+00	2218.jpg	2110.jpg	57	44	i	0	1.046413e+03
MRI_faces_115	3	7.524346e+00	2164.jpg	2194.jpg	52	54	u	0	1.166466e+03
MRI_faces_115	4	1.102826e+01	1145.jpg	1173.jpg	16	19	u	0	1.214554e+03
MRI_faces_115	5	1.453218e+01	2094.jpg	1262.jpg	43	30	u	0	1.622634e+03
MRI_faces_115	6	1.801942e+01	2118.jpg	1019.jpg	46	4	u	0	1.479392e+03
MRI_faces_115	7	2.152334e+01	1130.jpg	1080.jpg	15	12	i	0	1.535491e+03
MRI_faces_115	8	2.502727e+01	2155.jpg	1255.jpg	51	29	i	0	1.567562e+03
MRI_faces_115	9	2.853119e+01	1226.jpg	1183.jpg	27	20	i	0	1.607623e+03
MRI_faces_115	10	3.201844e+01	1013.jpg	2041.jpg	2	36	u	0	1.280375e+03
MRI_faces_115	11	3.552235e+01	2212.jpg	1210.jpg	56	25	i	0	1.528490e+03
MRI_faces_115	12	3.902629e+01	1127.jpg	1027.jpg	14	5	i	0	9.685292e+02
MRI_faces_115	13	4.253021e+01	2149.jpg	2240.jpg	49	59	i	0	1.344605e+03
MRI_faces_115	14	4.603414e+01	2045.jpg	1216.jpg	38	26	u	0	1.472683e+03
MRI_faces_115	15	4.952137e+01	2209.jpg	1050.jpg	55	8	u	0	1.473444e+03
MRI_faces_115	16	5.302529e+01	1204.jpg	2181.jpg	24	53	i	0	1.545516e+03
MRI_faces_115	17	5.652921e+01	1060.jpg	2039.jpg	10	35	i	0	1.537606e+03
MRI_faces_115	18	6.003314e+01	1114.jpg	2248.jpg	13	60	i	0	9.376623e+02
MRI_faces_115	19	6.352038e+01	1146.jpg	1007.jpg	17	1	i	0	8.824364e+02
MRI_faces_115	20	6.702431e+01	2112.jpg	2089.jpg	45	42	u	0	1.050505e+03
MRI_faces_115	21	7.052823e+01	1031.jpg	1150.jpg	6	18	u	0	9.545800e+02
MRI_faces_115	22	7.403215e+01	2006.jpg	2125.jpg	31	47	u	0	1.282662e+03
MRI_faces_115	23	7.751939e+01	1052.jpg	2063.jpg	9	41	u	0	1.147425e+03
MRI_faces_115	24	8.102332e+01	2015.jpg	2043.jpg	33	37	u	0	1.395487e+03
MRI_faces_115	25	8.452724e+01	2058.jpg	1246.jpg	40	28	u	0	9.715660e+02
MRI_faces_115	26	8.803117e+01	1035.jpg	2024.jpg	7	34	u	0	1.323639e+03
MRI_faces_115	27	9.151841e+01	2153.jpg	1192.jpg	50	22	u	0	1.300394e+03
MRI_faces_115	28	9.502234e+01	1017.jpg	2010.jpg	3	32	i	0	1.268465e+03
MRI_faces_115	29	9.852626e+01	1073.jpg	1191.jpg	11	21	u	0	1.188550e+03
MRI_faces_115	30	1.020302e+02	2053.jpg	1202.jpg	39	23	i	0	1.188632e+03
MRI_faces_115	31	1.055174e+02	2118.jpg	2164.jpg	46	52	u	0	1.125430e+03
MRI_faces_115	32	1.090213e+02	2128.jpg	2043.jpg	48	37	i	0	1.077464e+03
MRI_faces_115	33	1.125253e+02	1204.jpg	2110.jpg	24	44	i	0	9.415382e+02
MRI_faces_115	34	1.160292e+02	1145.jpg	2218.jpg	16	57	i	0	1.413627e+03
MRI_faces_115	35	1.195331e+02	1255.jpg	1226.jpg	29	27	u	0	8.296892e+02
MRI_faces_115	36	1.230204e+02	2006.jpg	2045.jpg	31	38	u	0	8.784645e+02
MRI_faces_115	37	1.265243e+02	2063.jpg	1017.jpg	41	3	u	0	8.545290e+02
MRI_faces_115	38	1.300282e+02	2149.jpg	2209.jpg	49	55	i	0	1.166592e+03
MRI_faces_115	39	1.335321e+02	1216.jpg	1013.jpg	26	2	u	0	1.022681e+03
MRI_faces_115	40	1.370194e+02	1246.jpg	2015.jpg	28	33	i	0	8.874366e+02
MRI_faces_115	41	1.405233e+02	1173.jpg	1052.jpg	19	9	i	0	1.223510e+03
MRI_faces_115	42	1.440272e+02	2039.jpg	1027.jpg	35	5	u	0	7.595899e+02
MRI_faces_115	43	1.475311e+02	1073.jpg	1192.jpg	11	22	u	0	7.996693e+02
MRI_faces_115	44	1.510184e+02	1150.jpg	1019.jpg	18	4	i	0	9.364267e+02
MRI_faces_115	45	1.545223e+02	1130.jpg	1050.jpg	15	8	i	0	8.405144e+02
MRI_faces_115	46	1.580262e+02	1114.jpg	1262.jpg	13	30	u	0	1.136574e+03
MRI_faces_115	47	1.615302e+02	1146.jpg	1031.jpg	17	6	u	0	9.446509e+02
MRI_faces_115	48	1.650341e+02	2212.jpg	1202.jpg	56	23	i	0	1.176725e+03
MRI_faces_115	49	1.685213e+02	2240.jpg	2125.jpg	59	47	i	0	1.313486e+03
MRI_faces_115	50	1.720252e+02	2089.jpg	2058.jpg	42	40	u	0	8.495649e+02
MRI_faces_115	51	1.755292e+02	2053.jpg	2155.jpg	39	51	u	0	1.097645e+03
MRI_faces_115	52	1.790331e+02	1210.jpg	1080.jpg	25	12	i	0	8.337200e+02
MRI_faces_115	53	1.825203e+02	2112.jpg	2041.jpg	45	36	u	0	7.704670e+02
MRI_faces_115	54	1.860243e+02	2094.jpg	1191.jpg	43	21	u	0	9.065493e+02
MRI_faces_115	55	1.895282e+02	2194.jpg	1007.jpg	54	1	i	0	1.090644e+03
MRI_faces_115	56	1.930321e+02	2153.jpg	2229.jpg	50	58	i	0	1.298708e+03
MRI_faces_115	57	1.965193e+02	2024.jpg	2010.jpg	34	32	i	0	1.123461e+03
MRI_faces_115	58	2.000233e+02	1183.jpg	1060.jpg	20	10	i	0	1.179538e+03
MRI_faces_115	59	2.035272e+02	1035.jpg	2248.jpg	7	60	i	0	1.235620e+03
MRI_faces_115	60	2.070311e+02	2181.jpg	1127.jpg	53	14	u	0	9.236930e+02
MRI_faces_115	61	2.105184e+02	2043.jpg	1019.jpg	37	4	u	0	1.316449e+03
MRI_faces_115	62	2.140223e+02	2164.jpg	2125.jpg	52	47	u	0	1.340526e+03
MRI_faces_115	63	2.175262e+02	2110.jpg	1017.jpg	44	3	u	0	9.246198e+02
MRI_faces_115	64	2.210301e+02	1127.jpg	2058.jpg	14	40	i	0	9.166721e+02
MRI_faces_115	65	2.245174e+02	2024.jpg	2112.jpg	34	45	i	0	9.654249e+02
