subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	isMale?	onsettime	fixationTime
MRI_faces_117	 1	 1	 after	 1	 2209.jpg	 57	 0	 2.159484	 4.026188	
MRI_faces_117	 1	 1	 after	 1	 1210.jpg	 11	 1	 7.026220	 9.026284	
MRI_faces_117	 1	 1	 after	 1	 1204.jpg	 45	 1	 10.026272	 12.026228	
MRI_faces_117	 1	 1	 after	 1	 2240.jpg	 42	 0	 16.026384	 18.026343	
MRI_faces_117	 1	 1	 after	 1	 1031.jpg	 3	 1	 19.026354	 21.026469	
MRI_faces_117	 1	 1	 after	 1	 1262.jpg	 44	 1	 22.026429	 24.026445	
MRI_faces_117	 1	 1	 after	 1	 2063.jpg	 46	 0	 27.026511	 29.026538	
MRI_faces_117	 1	 1	 after	 1	 1013.jpg	 16	 1	 30.026611	 32.026549	
MRI_faces_117	 1	 1	 after	 1	 1019.jpg	 13	 1	 33.026641	 35.026562	
MRI_faces_117	 1	 1	 after	 1	 1052.jpg	 48	 1	 37.026620	 39.027040	
MRI_faces_117	 1	 1	 after	 1	 2164.jpg	 8	 0	 40.027262	 42.029986	
MRI_faces_117	 1	 1	 after	 1	 1027.jpg	 40	 1	 45.028097	 47.028516	
MRI_faces_117	 1	 1	 after	 1	 1050.jpg	 7	 1	 52.026802	 54.026870	
MRI_faces_117	 1	 1	 after	 1	 2043.jpg	 50	 0	 56.026915	 58.026918	
MRI_faces_117	 1	 1	 after	 1	 1080.jpg	 58	 1	 59.026955	 61.026921	
MRI_faces_117	 1	 1	 after	 1	 2053.jpg	 12	 0	 62.026971	 64.026976	
MRI_faces_117	 1	 1	 after	 1	 1255.jpg	 22	 1	 65.026982	 67.027045	
MRI_faces_117	 1	 1	 after	 1	 1226.jpg	 6	 1	 68.027057	 70.027085	
MRI_faces_117	 1	 1	 after	 1	 1060.jpg	 21	 1	 72.027039	 74.027147	
MRI_faces_117	 1	 1	 after	 1	 2089.jpg	 39	 0	 77.027151	 79.027229	
MRI_faces_117	 1	 1	 after	 1	 2149.jpg	 51	 0	 81.027270	 83.027160	
MRI_faces_117	 1	 1	 after	 1	 1127.jpg	 17	 1	 86.027214	 88.027302	
MRI_faces_117	 1	 1	 after	 1	 2094.jpg	 52	 0	 92.027342	 94.027409	
MRI_faces_117	 1	 1	 after	 1	 1191.jpg	 14	 1	 97.027356	 99.027409	
MRI_faces_117	 1	 1	 after	 1	 1246.jpg	 43	 1	 101.027437	 103.027509	
MRI_faces_117	 1	 1	 after	 1	 2058.jpg	 54	 0	 104.027477	 106.027449	
MRI_faces_117	 1	 1	 after	 1	 1035.jpg	 5	 1	 107.027471	 109.027500	
MRI_faces_117	 1	 1	 after	 1	 2128.jpg	 55	 0	 115.027579	 117.027631	
MRI_faces_117	 1	 1	 after	 1	 1145.jpg	 19	 1	 119.027645	 121.027696	
MRI_faces_117	 1	 1	 after	 1	 2248.jpg	 53	 0	 122.027716	 124.027766	
MRI_faces_117	 1	 1	 after	 1	 1183.jpg	 15	 1	 127.027761	 129.027781	
MRI_faces_117	 1	 1	 after	 1	 2024.jpg	 56	 0	 130.027803	 132.026418	
MRI_faces_117	 1	 1	 after	 1	 2118.jpg	 20	 0	 134.027851	 136.027912	
MRI_faces_117	 1	 1	 after	 1	 2212.jpg	 4	 0	 137.027803	 139.027919	
MRI_faces_117	 1	 1	 after	 1	 2125.jpg	 18	 0	 142.028159	 144.028491	
MRI_faces_117	 1	 1	 after	 1	 2015.jpg	 41	 0	 145.028692	 147.028002	
MRI_faces_117	 1	 1	 after	 1	 2112.jpg	 47	 0	 150.028044	 152.028037	
MRI_faces_117	 1	 1	 after	 1	 2155.jpg	 49	 0	 154.028078	 156.028069	
MRI_faces_117	 1	 1	 after	 1	 1114.jpg	 10	 1	 157.014124	 159.014433	
MRI_faces_117	 1	 1	 after	 1	 2041.jpg	 9	 0	 161.014774	 163.028114	
