subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
MRI_faces_125	 1	 9	 2089.jpg	 2.395502e+00	 12	 999000	 120	 999000	 999	 3.412743e+00	 816.67	 750.01	 11.00	 42	 0.74	 
MRI_faces_125	 1	 9	 2041.jpg	 5.395746e+00	 11	 1.012237e+03	 1100	 8.184298e+02	 98	 6.413901e+00	 766.67	 750.01	 13.00	 36	 0.73	 
MRI_faces_125	 1	 9	 2015.jpg	 9.396479e+00	 12	 999000	 120	 999000	 999	 1.041399e+01	 766.67	 750.01	 5.00	 33	 0.83	 
MRI_faces_125	 1	 9	 2039.jpg	 1.239694e+01	 22	 9.070145e+02	 220	 7.516912e+02	 98	 1.341373e+01	 766.67	 766.68	 45.00	 35	 0.31	 
MRI_faces_125	 1	 9	 1035.jpg	 1.639764e+01	 11	 9.143189e+02	 110	 7.669489e+02	 98	 1.741447e+01	 783.34	 766.68	 7.00	 7	 0.80	 
MRI_faces_125	 1	 9	 2110.jpg	 1.939819e+01	 24	 999000	 240	 999000	 999	 2.041517e+01	 783.34	 766.68	 48.00	 44	 0.28	 
MRI_faces_125	 1	 9	 2229.jpg	 2.139848e+01	 12	 999000	 120	 999000	 999	 2.241531e+01	 783.34	 766.68	 20.00	 58	 0.62	 
MRI_faces_125	 1	 9	 1145.jpg	 2.439910e+01	 24	 999000	 240	 999000	 999	 2.541586e+01	 783.34	 766.68	 54.00	 16	 0.22	 
MRI_faces_125	 1	 9	 1007.jpg	 2.739965e+01	 12	 999000	 120	 999000	 999	 2.841639e+01	 783.34	 766.68	 21.00	 1	 0.60	 
MRI_faces_125	 1	 9	 2153.jpg	 3.240043e+01	 12	 999000	 120	 999000	 999	 3.341733e+01	 783.34	 766.68	 8.00	 50	 0.79	 
MRI_faces_125	 1	 9	 1073.jpg	 3.440087e+01	 24	 999000	 240	 999000	 999	 3.541769e+01	 783.34	 766.68	 43.00	 11	 0.37	 
MRI_faces_125	 1	 9	 1017.jpg	 3.640121e+01	 12	 999000	 120	 999000	 999	 3.741799e+01	 783.34	 766.68	 22.00	 3	 0.59	 
MRI_faces_125	 1	 9	 1027.jpg	 4.039583e+01	 22	 9.621261e+02	 220	 7.669845e+02	 98	 4.141241e+01	 783.34	 783.34	 52.00	 5	 0.25	 
MRI_faces_125	 1	 9	 2155.jpg	 4.739598e+01	 12	 999000	 120	 999000	 999	 4.841269e+01	 783.34	 783.34	 6.00	 51	 0.80	 
MRI_faces_125	 1	 9	 1060.jpg	 4.939594e+01	 22	 9.330284e+02	 220	 7.836352e+02	 98	 5.041257e+01	 783.34	 800.01	 50.00	 10	 0.26	 
MRI_faces_125	 1	 9	 1216.jpg	 5.139592e+01	 24	 999000	 240	 999000	 999	 5.241259e+01	 783.34	 800.01	 39.00	 26	 0.40	 
MRI_faces_125	 1	 9	 1173.jpg	 5.339603e+01	 22	 9.379322e+02	 220	 8.002571e+02	 98	 5.441256e+01	 783.34	 816.68	 53.00	 19	 0.23	 
MRI_faces_125	 1	 9	 2240.jpg	 5.539599e+01	 12	 999000	 120	 999000	 999	 5.641260e+01	 783.34	 816.68	 17.00	 59	 0.66	 
MRI_faces_125	 1	 9	 2024.jpg	 5.739606e+01	 24	 999000	 240	 999000	 999	 5.841275e+01	 783.34	 816.68	 46.00	 34	 0.31	 
MRI_faces_125	 1	 9	 1031.jpg	 6.039607e+01	 11	 9.338947e+02	 110	 7.835787e+02	 98	 6.141281e+01	 800.00	 816.68	 18.00	 6	 0.66	 
MRI_faces_125	 1	 9	 2010.jpg	 6.239612e+01	 12	 999000	 120	 999000	 999	 6.341279e+01	 800.00	 816.68	 19.00	 32	 0.63	 
MRI_faces_125	 1	 9	 2212.jpg	 6.439615e+01	 12	 999000	 120	 999000	 999	 6.541277e+01	 800.00	 816.68	 4.00	 56	 0.83	 
MRI_faces_125	 1	 9	 1192.jpg	 6.839616e+01	 24	 999000	 240	 999000	 999	 6.941290e+01	 800.00	 816.68	 55.00	 22	 0.20	 
MRI_faces_125	 1	 9	 2125.jpg	 7.239635e+01	 24	 999000	 240	 999000	 999	 7.341295e+01	 800.00	 816.68	 40.00	 47	 0.38	 
MRI_faces_125	 1	 9	 2248.jpg	 7.839640e+01	 11	 9.715643e+02	 110	 8.002505e+02	 98	 7.941298e+01	 816.67	 816.68	 12.00	 60	 0.74	 
MRI_faces_125	 1	 9	 1019.jpg	 8.039640e+01	 24	 999000	 240	 999000	 999	 8.141301e+01	 816.67	 816.68	 42.00	 4	 0.38	 
MRI_faces_125	 1	 9	 1246.jpg	 8.239646e+01	 24	 999000	 240	 999000	 999	 8.341305e+01	 816.67	 816.68	 41.00	 28	 0.38	 
MRI_faces_125	 1	 9	 2094.jpg	 8.439639e+01	 11	 9.895665e+02	 110	 8.169411e+02	 98	 8.541309e+01	 833.34	 816.68	 15.00	 43	 0.71	 
MRI_faces_125	 1	 9	 2006.jpg	 8.839647e+01	 12	 999000	 120	 999000	 999	 8.941334e+01	 833.34	 816.68	 3.00	 31	 0.88	 
MRI_faces_125	 1	 9	 1226.jpg	 9.039660e+01	 24	 999000	 240	 999000	 999	 9.141318e+01	 833.34	 816.68	 56.00	 27	 0.20	 
MRI_faces_125	 1	 9	 1150.jpg	 9.239668e+01	 24	 999000	 240	 999000	 999	 9.341321e+01	 833.34	 816.68	 58.00	 18	 0.18	 
MRI_faces_125	 1	 9	 1202.jpg	 9.439666e+01	 11	 9.932943e+02	 110	 8.336006e+02	 98	 9.542818e+01	 850.00	 816.68	 10.00	 23	 0.76	 
MRI_faces_125	 1	 9	 2045.jpg	 9.839689e+01	 24	 999000	 240	 999000	 999	 9.941336e+01	 850.00	 816.68	 51.00	 38	 0.26	 
MRI_faces_125	 1	 9	 2118.jpg	 1.023967e+02	 12	 999000	 120	 999000	 999	 1.034136e+02	 850.00	 816.68	 9.00	 46	 0.78	 
MRI_faces_125	 1	 9	 1114.jpg	 1.053968e+02	 12	 999000	 120	 999000	 999	 1.064134e+02	 850.00	 816.68	 14.00	 13	 0.71	 
MRI_faces_125	 1	 9	 2043.jpg	 1.103975e+02	 22	 1.025465e+03	 2200	 8.169420e+02	 98	 1.114143e+02	 850.00	 766.68	 47.00	 37	 0.30	 
MRI_faces_125	 1	 9	 1204.jpg	 1.123981e+02	 24	 999000	 240	 999000	 999	 1.134147e+02	 850.00	 766.68	 57.00	 24	 0.19	 
MRI_faces_125	 1	 9	 1146.jpg	 1.153984e+02	 24	 999000	 240	 999000	 999	 1.164151e+02	 850.00	 766.68	 49.00	 17	 0.27	 
MRI_faces_125	 1	 9	 2164.jpg	 1.193991e+02	 22	 9.288175e+02	 220	 7.669642e+02	 98	 1.204159e+02	 850.00	 783.34	 44.00	 52	 0.37	 
MRI_faces_125	 1	 9	 2112.jpg	 1.223996e+02	 12	 999000	 120	 999000	 999	 1.234164e+02	 850.00	 783.34	 16.00	 45	 0.66	 
