subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
MRI_faces_135	 1	 7	 1052.jpg	 2.413626e+00	 12	 999000	 120	 999000	 999	 3.431014e+00	 750.00	 816.66	 17.00	 9	 0.66	 
MRI_faces_135	 1	 7	 2240.jpg	 5.413987e+00	 24	 999000	 240	 999000	 999	 6.430856e+00	 750.00	 816.66	 56.00	 59	 0.19	 
MRI_faces_135	 1	 7	 1007.jpg	 9.414740e+00	 12	 999000	 120	 999000	 999	 1.043240e+01	 750.00	 816.66	 20.00	 1	 0.59	 
MRI_faces_135	 1	 7	 1226.jpg	 1.241177e+01	 11	 1.183889e+03	 1100	 7.518940e+02	 98	 1.342839e+01	 700.00	 816.66	 13.00	 27	 0.69	 
MRI_faces_135	 1	 7	 1019.jpg	 1.641179e+01	 11	 8.918379e+02	 110	 7.002633e+02	 98	 1.742842e+01	 716.67	 816.66	 10.00	 4	 0.72	 
MRI_faces_135	 1	 7	 2089.jpg	 1.941184e+01	 24	 999000	 240	 999000	 999	 2.042852e+01	 716.67	 816.66	 49.00	 42	 0.30	 
MRI_faces_135	 1	 7	 1073.jpg	 2.141203e+01	 11	 9.616095e+02	 110	 7.169207e+02	 98	 2.242853e+01	 733.33	 816.66	 7.00	 11	 0.78	 
MRI_faces_135	 1	 7	 2149.jpg	 2.441186e+01	 24	 999000	 240	 999000	 999	 2.542862e+01	 733.33	 816.66	 48.00	 49	 0.31	 
MRI_faces_135	 1	 7	 1114.jpg	 2.741204e+01	 12	 999000	 120	 999000	 999	 2.842860e+01	 733.33	 816.66	 16.00	 13	 0.66	 
MRI_faces_135	 1	 7	 2053.jpg	 3.241206e+01	 12	 999000	 120	 999000	 999	 3.342870e+01	 733.33	 816.66	 4.00	 39	 0.83	 
MRI_faces_135	 1	 7	 1060.jpg	 3.441214e+01	 24	 999000	 240	 999000	 999	 3.542879e+01	 733.33	 816.66	 57.00	 10	 0.14	 
MRI_faces_135	 1	 7	 2010.jpg	 3.641211e+01	 22	 1.058535e+03	 2200	 8.184029e+02	 98	 3.742878e+01	 733.33	 766.66	 52.00	 32	 0.25	 
MRI_faces_135	 1	 7	 1027.jpg	 4.041215e+01	 12	 999000	 120	 999000	 999	 4.142881e+01	 733.33	 766.66	 6.00	 5	 0.80	 
MRI_faces_135	 1	 7	 1202.jpg	 4.741233e+01	 12	 999000	 120	 999000	 999	 4.842890e+01	 733.33	 766.66	 11.00	 23	 0.70	 
MRI_faces_135	 1	 7	 1050.jpg	 4.941226e+01	 11	 9.623755e+02	 110	 7.336084e+02	 98	 5.042899e+01	 750.00	 766.66	 18.00	 8	 0.66	 
MRI_faces_135	 1	 7	 2128.jpg	 5.141238e+01	 24	 999000	 240	 999000	 999	 5.242893e+01	 750.00	 766.66	 51.00	 48	 0.26	 
MRI_faces_135	 1	 7	 1255.jpg	 5.341232e+01	 12	 999000	 120	 999000	 999	 5.442901e+01	 750.00	 766.66	 5.00	 29	 0.80	 
MRI_faces_135	 1	 7	 2248.jpg	 5.541236e+01	 24	 999000	 240	 999000	 999	 5.642910e+01	 750.00	 766.66	 43.00	 60	 0.37	 
MRI_faces_135	 1	 7	 1127.jpg	 5.741241e+01	 24	 999000	 240	 999000	 999	 5.842902e+01	 750.00	 766.66	 46.00	 14	 0.35	 
MRI_faces_135	 1	 7	 1035.jpg	 6.041249e+01	 12	 999000	 120	 999000	 999	 6.142915e+01	 750.00	 766.66	 9.00	 7	 0.76	 
MRI_faces_135	 1	 7	 2058.jpg	 6.241248e+01	 22	 1.018152e+03	 2200	 7.669523e+02	 98	 6.342909e+01	 750.00	 716.66	 50.00	 40	 0.26	 
MRI_faces_135	 1	 7	 2015.jpg	 6.441254e+01	 24	 999000	 240	 999000	 999	 6.542914e+01	 750.00	 716.66	 55.00	 33	 0.19	 
MRI_faces_135	 1	 7	 2094.jpg	 6.841259e+01	 12	 999000	 120	 999000	 999	 6.942918e+01	 750.00	 716.66	 8.00	 43	 0.78	 
MRI_faces_135	 1	 7	 2153.jpg	 7.241269e+01	 11	 1.057948e+03	 1100	 7.503112e+02	 98	 7.342933e+01	 700.00	 716.66	 15.00	 50	 0.67	 
MRI_faces_135	 1	 7	 1146.jpg	 7.841277e+01	 12	 999000	 120	 999000	 999	 7.942939e+01	 700.00	 716.66	 22.00	 17	 0.57	 
MRI_faces_135	 1	 7	 2110.jpg	 8.041279e+01	 24	 999000	 240	 999000	 999	 8.142945e+01	 700.00	 716.66	 58.00	 44	 0.13	 
MRI_faces_135	 1	 7	 2024.jpg	 8.241276e+01	 24	 999000	 240	 999000	 999	 8.342945e+01	 700.00	 716.66	 54.00	 34	 0.24	 
MRI_faces_135	 1	 7	 2118.jpg	 8.441290e+01	 11	 8.817386e+02	 110	 7.002681e+02	 98	 8.542946e+01	 716.67	 716.66	 12.00	 46	 0.69	 
MRI_faces_135	 1	 7	 1210.jpg	 8.841294e+01	 12	 999000	 120	 999000	 999	 8.942959e+01	 716.67	 716.66	 14.00	 25	 0.69	 
MRI_faces_135	 1	 7	 2045.jpg	 9.041300e+01	 22	 8.766461e+02	 220	 7.169275e+02	 98	 9.142967e+01	 716.67	 733.33	 53.00	 38	 0.24	 
MRI_faces_135	 1	 7	 2006.jpg	 9.241291e+01	 22	 9.777196e+02	 220	 7.336678e+02	 98	 9.342961e+01	 716.67	 749.99	 45.00	 31	 0.36	 
MRI_faces_135	 1	 7	 2041.jpg	 9.441306e+01	 24	 999000	 240	 999000	 999	 9.542980e+01	 716.67	 749.99	 41.00	 36	 0.39	 
MRI_faces_135	 1	 7	 2212.jpg	 9.841378e+01	 24	 999000	 240	 999000	 999	 9.943071e+01	 716.67	 749.99	 39.00	 56	 0.40	 
MRI_faces_135	 1	 7	 2229.jpg	 1.024144e+02	 22	 9.292005e+02	 220	 7.502740e+02	 98	 1.034312e+02	 716.67	 766.66	 47.00	 58	 0.34	 
MRI_faces_135	 1	 7	 1017.jpg	 1.054149e+02	 12	 999000	 120	 999000	 999	 1.064318e+02	 716.67	 766.66	 3.00	 3	 0.85	 
MRI_faces_135	 1	 7	 2063.jpg	 1.104132e+02	 24	 999000	 240	 999000	 999	 1.114299e+02	 716.67	 766.66	 42.00	 41	 0.39	 
MRI_faces_135	 1	 7	 2112.jpg	 1.124133e+02	 12	 999000	 120	 999000	 999	 1.134299e+02	 716.67	 766.66	 21.00	 45	 0.58	 
MRI_faces_135	 1	 7	 1216.jpg	 1.154132e+02	 12	 999000	 120	 999000	 999	 1.164300e+02	 716.67	 766.66	 19.00	 26	 0.65	 
MRI_faces_135	 1	 7	 2194.jpg	 1.194133e+02	 22	 9.912924e+02	 220	 7.669479e+02	 98	 1.204300e+02	 716.67	 783.33	 44.00	 54	 0.37	 
MRI_faces_135	 1	 7	 1246.jpg	 1.224134e+02	 24	 999000	 240	 999000	 999	 1.234301e+02	 716.67	 783.33	 40.00	 28	 0.39	 
