subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	
MRI_faces_149	 1	 1	 02	 2	 1	 2.018007e+00	 2118.jpg	 2153.jpg	 18	 14	 1	 b	 1	 1	 987.10	 0.65	 0.70	 3.500856e+00	 
MRI_faces_149	 1	 1	 02	 2	 2	 6.018024e+00	 2043.jpg	 1130.jpg	 47	 48	 1	 y	 2	 0	 871.08	 0.32	 0.29	 7.383647e+00	 
MRI_faces_149	 1	 1	 02	 2	 3	 1.301785e+01	 2118.jpg	 1262.jpg	 18	 11	 1	 b	 1	 1	 870.26	 0.65	 0.72	 1.438500e+01	 
MRI_faces_149	 1	 1	 02	 2	 4	 1.601840e+01	 1052.jpg	 2112.jpg	 53	 43	 1	 y	 2	 0	 1011.72	 0.25	 0.35	 1.753135e+01	 
MRI_faces_149	 1	 1	 02	 2	 5	 2.101933e+01	 1145.jpg	 1130.jpg	 50	 48	 1	 y	 2	 0	 980.76	 0.26	 0.29	 2.250301e+01	 
MRI_faces_149	 1	 1	 02	 2	 6	 3.102109e+01	 1192.jpg	 2043.jpg	 54	 47	 0	 y	 2	 1	 989.01	 0.21	 0.32	 3.250481e+01	 
MRI_faces_149	 1	 1	 02	 2	 7	 3.402161e+01	 1192.jpg	 1080.jpg	 54	 52	 0	 b	 2	 0	 920.50	 0.21	 0.26	 3.543878e+01	 
MRI_faces_149	 1	 1	 02	 2	 8	 3.702224e+01	 2164.jpg	 2006.jpg	 9	 7	 0	 b	 1	 0	 1406.87	 0.77	 0.78	 3.892265e+01	 
MRI_faces_149	 1	 1	 02	 2	 9	 4.601495e+01	 2153.jpg	 2039.jpg	 14	 10	 0	 b	 1	 0	 1215.14	 0.70	 0.76	 4.773183e+01	 
MRI_faces_149	 1	 1	 02	 2	 10	 4.901505e+01	 2212.jpg	 2209.jpg	 17	 13	 0	 y	 1	 1	 875.07	 0.67	 0.70	 5.039128e+01	 
MRI_faces_149	 1	 1	 02	 2	 11	 5.901526e+01	 2128.jpg	 2153.jpg	 15	 14	 1	 b	 1	 1	 958.87	 0.70	 0.70	 6.047639e+01	 
MRI_faces_149	 1	 1	 02	 2	 12	 6.401531e+01	 2209.jpg	 2041.jpg	 13	 8	 1	 b	 1	 1	 1007.82	 0.70	 0.78	 6.552727e+01	 
MRI_faces_149	 1	 1	 02	 2	 13	 6.901541e+01	 2063.jpg	 2089.jpg	 55	 6	 0	 b	 4	 0	 1177.70	 0.20	 0.79	 7.069903e+01	 
MRI_faces_149	 1	 1	 02	 2	 14	 7.701548e+01	 2041.jpg	 2118.jpg	 8	 18	 0	 x	 1	 999	 999000.00	 0.78	 0.65	 7.901560e+01	 
MRI_faces_149	 1	 1	 02	 2	 15	 8.401551e+01	 1262.jpg	 1031.jpg	 11	 12	 0	 b	 1	 0	 1281.60	 0.72	 0.72	 8.579919e+01	 
MRI_faces_149	 1	 1	 02	 2	 16	 8.801568e+01	 1017.jpg	 2112.jpg	 44	 43	 1	 y	 2	 0	 1390.44	 0.35	 0.35	 8.989923e+01	 
MRI_faces_149	 1	 1	 02	 2	 17	 9.101565e+01	 2212.jpg	 2128.jpg	 17	 15	 0	 b	 1	 0	 1349.50	 0.67	 0.70	 9.286575e+01	 
MRI_faces_149	 1	 1	 02	 2	 18	 9.601579e+01	 1202.jpg	 1017.jpg	 49	 44	 0	 y	 2	 1	 1214.32	 0.27	 0.35	 9.773292e+01	 
MRI_faces_149	 1	 1	 02	 2	 19	 9.901629e+01	 2039.jpg	 2164.jpg	 10	 9	 1	 y	 1	 0	 1253.84	 0.76	 0.77	 1.007667e+02	 
MRI_faces_149	 1	 1	 02	 2	 20	 1.070177e+02	 2112.jpg	 1145.jpg	 43	 50	 0	 b	 2	 0	 1238.45	 0.35	 0.26	 1.087515e+02	 
MRI_faces_149	 1	 1	 02	 2	 21	 1.130187e+02	 2248.jpg	 1202.jpg	 45	 49	 1	 x	 2	 999	 999000.00	 0.32	 0.27	 1.150192e+02	 
MRI_faces_149	 1	 1	 02	 2	 22	 1.180197e+02	 1080.jpg	 1035.jpg	 52	 46	 1	 y	 2	 0	 840.47	 0.26	 0.32	 1.193534e+02	 
MRI_faces_149	 1	 1	 02	 2	 23	 1.230205e+02	 2128.jpg	 2041.jpg	 15	 8	 1	 y	 1	 0	 1135.60	 0.70	 0.78	 1.246543e+02	 
MRI_faces_149	 1	 1	 02	 2	 24	 1.260211e+02	 1202.jpg	 2043.jpg	 49	 47	 0	 b	 2	 0	 1188.02	 0.27	 0.32	 1.277049e+02	 
MRI_faces_149	 1	 1	 02	 2	 25	 1.400235e+02	 1031.jpg	 2153.jpg	 12	 14	 1	 x	 1	 999	 999000.00	 0.72	 0.70	 1.420165e+02	 
MRI_faces_149	 1	 1	 02	 2	 26	 1.430164e+02	 1127.jpg	 1007.jpg	 56	 5	 0	 y	 4	 1	 1195.76	 0.19	 0.80	 1.447165e+02	 
MRI_faces_149	 1	 1	 02	 2	 27	 1.470164e+02	 1031.jpg	 2041.jpg	 12	 8	 1	 y	 1	 0	 873.69	 0.72	 0.78	 1.483917e+02	 
