subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
MRI_faces_151	 1	 11	 1052.jpg	 2.310504e+00	 22	 1.038119e+03	 2200	 7.534932e+02	 98	 3.326772e+00	 750.00	 700.00	 53.00	 9	 0.27	 
MRI_faces_151	 1	 11	 2045.jpg	 6.299685e+00	 24	 999000	 240	 999000	 999	 7.316338e+00	 750.00	 700.00	 40.00	 38	 0.42	 
MRI_faces_151	 1	 11	 1150.jpg	 8.299762e+00	 22	 9.388526e+02	 220	 7.024626e+02	 98	 9.316430e+00	 750.00	 716.67	 50.00	 18	 0.35	 
MRI_faces_151	 1	 11	 2248.jpg	 1.330006e+01	 24	 999000	 240	 999000	 999	 1.431657e+01	 750.00	 716.67	 49.00	 60	 0.36	 
MRI_faces_151	 1	 11	 1255.jpg	 1.529984e+01	 12	 999000	 120	 999000	 999	 1.631650e+01	 750.00	 716.67	 21.00	 29	 0.55	 
MRI_faces_151	 1	 11	 2010.jpg	 1.729988e+01	 12	 999000	 120	 999000	 999	 1.831653e+01	 750.00	 716.67	 4.00	 32	 0.75	 
MRI_faces_151	 1	 11	 2089.jpg	 2.130009e+01	 12	 999000	 120	 999000	 999	 2.231666e+01	 750.00	 716.67	 17.00	 42	 0.59	 
MRI_faces_151	 1	 11	 2043.jpg	 2.329998e+01	 22	 9.526468e+02	 220	 7.169209e+02	 98	 2.431668e+01	 750.00	 733.33	 44.00	 37	 0.40	 
MRI_faces_151	 1	 11	 1146.jpg	 2.530008e+01	 12	 999000	 120	 999000	 999	 2.631673e+01	 750.00	 733.33	 8.00	 17	 0.72	 
MRI_faces_151	 1	 11	 1226.jpg	 2.830013e+01	 22	 9.494949e+02	 220	 7.336006e+02	 98	 2.931671e+01	 750.00	 750.00	 47.00	 27	 0.39	 
MRI_faces_151	 1	 11	 2063.jpg	 3.030015e+01	 12	 999000	 120	 999000	 999	 3.131684e+01	 750.00	 750.00	 16.00	 41	 0.60	 
MRI_faces_151	 1	 11	 1246.jpg	 3.430015e+01	 11	 9.774680e+02	 110	 7.528486e+02	 98	 3.531690e+01	 766.67	 750.00	 7.00	 28	 0.73	 
MRI_faces_151	 1	 11	 1035.jpg	 4.030031e+01	 24	 999000	 240	 999000	 999	 4.131698e+01	 766.67	 750.00	 41.00	 7	 0.42	 
MRI_faces_151	 1	 11	 2229.jpg	 4.330065e+01	 12	 999000	 120	 999000	 999	 4.431740e+01	 766.67	 750.00	 19.00	 58	 0.59	 
MRI_faces_151	 1	 11	 1262.jpg	 4.530098e+01	 11	 1.035647e+03	 1100	 7.669291e+02	 98	 4.631789e+01	 716.67	 750.00	 13.00	 30	 0.64	 
MRI_faces_151	 1	 11	 1114.jpg	 4.730130e+01	 12	 999000	 120	 999000	 999	 4.831820e+01	 716.67	 750.00	 9.00	 13	 0.72	 
MRI_faces_151	 1	 11	 2181.jpg	 4.930162e+01	 24	 999000	 240	 999000	 999	 5.031850e+01	 716.67	 750.00	 57.00	 53	 0.21	 
MRI_faces_151	 1	 11	 2128.jpg	 5.130197e+01	 12	 999000	 120	 999000	 999	 5.231883e+01	 716.67	 750.00	 14.00	 48	 0.63	 
MRI_faces_151	 1	 11	 2058.jpg	 5.430265e+01	 11	 1.031977e+03	 1100	 7.169425e+02	 98	 5.531932e+01	 666.67	 750.00	 15.00	 40	 0.63	 
MRI_faces_151	 1	 11	 2125.jpg	 5.830324e+01	 24	 999000	 240	 999000	 999	 5.932009e+01	 666.67	 750.00	 55.00	 47	 0.25	 
MRI_faces_151	 1	 11	 2218.jpg	 6.130383e+01	 24	 999000	 240	 999000	 999	 6.232060e+01	 666.67	 750.00	 42.00	 57	 0.41	 
MRI_faces_151	 1	 11	 2155.jpg	 6.530452e+01	 24	 999000	 240	 999000	 999	 6.632135e+01	 666.67	 750.00	 46.00	 51	 0.39	 
MRI_faces_151	 1	 11	 2209.jpg	 7.030548e+01	 11	 8.801673e+02	 110	 6.669792e+02	 98	 7.132219e+01	 683.33	 750.00	 10.00	 55	 0.71	 
