subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
MRI_faces_105	 1	 2	 2010.jpg	 1.241726e+02	 24	 999000	 240	 999000	 999	 1.251895e+02	 716.67	 783.33	 51.00	 32	 0.24	 
MRI_faces_105	 1	 2	 2006.jpg	 1.291735e+02	 12	 999000	 120	 999000	 999	 1.301904e+02	 716.67	 783.33	 5.00	 31	 0.85	 
MRI_faces_105	 1	 2	 2041.jpg	 1.311738e+02	 12	 999000	 120	 999000	 999	 1.321911e+02	 716.67	 783.33	 22.00	 36	 0.62	 
MRI_faces_105	 1	 2	 1130.jpg	 1.341638e+02	 12	 999000	 120	 999000	 999	 1.351807e+02	 716.67	 783.33	 14.00	 15	 0.66	 
MRI_faces_105	 1	 2	 2248.jpg	 1.371639e+02	 24	 999000	 240	 999000	 999	 1.381820e+02	 716.67	 783.33	 49.00	 60	 0.26	 
MRI_faces_105	 1	 2	 1031.jpg	 1.441640e+02	 12	 999000	 120	 999000	 999	 1.451812e+02	 716.67	 783.33	 21.00	 6	 0.62	 
MRI_faces_105	 1	 2	 1060.jpg	 1.461641e+02	 24	 999000	 240	 999000	 999	 1.471808e+02	 716.67	 783.33	 43.00	 10	 0.31	 
MRI_faces_105	 1	 2	 1191.jpg	 1.501641e+02	 12	 999000	 120	 999000	 999	 1.511813e+02	 716.67	 783.33	 11.00	 21	 0.73	 
MRI_faces_105	 1	 2	 2149.jpg	 1.521641e+02	 24	 999000	 240	 999000	 999	 1.531849e+02	 716.67	 783.33	 48.00	 49	 0.27	 
MRI_faces_105	 1	 2	 2058.jpg	 1.571642e+02	 24	 999000	 240	 999000	 999	 1.581828e+02	 716.67	 783.33	 40.00	 40	 0.35	 
MRI_faces_105	 1	 2	 2164.jpg	 1.611642e+02	 11	 9.915940e+02	 110	 7.170391e+02	 98	 1.622003e+02	 733.34	 783.33	 15.00	 52	 0.66	 
MRI_faces_105	 1	 2	 2209.jpg	 1.631642e+02	 11	 1.094560e+03	 1100	 7.336492e+02	 98	 1.642130e+02	 683.34	 783.33	 7.00	 55	 0.79	 
MRI_faces_105	 1	 2	 1114.jpg	 1.661643e+02	 12	 999000	 120	 999000	 999	 1.671849e+02	 683.34	 783.33	 4.00	 13	 0.85	 
MRI_faces_105	 1	 2	 1050.jpg	 1.691643e+02	 22	 1.071491e+03	 2200	 7.836434e+02	 98	 1.701977e+02	 683.34	 733.33	 44.00	 8	 0.29	 
