subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	isMale?	onsettime	fixationTime
MRI_faces_104	 2	 1	 after	 2	 1007.jpg	 50	 1	 2.130049	 4.030683	
MRI_faces_104	 2	 1	 after	 2	 1216.jpg	 9	 1	 11.031455	 13.031923	
MRI_faces_104	 2	 1	 after	 2	 1052.jpg	 56	 1	 20.027663	 22.027686	
MRI_faces_104	 2	 1	 after	 2	 1130.jpg	 43	 1	 29.027750	 31.027862	
MRI_faces_104	 2	 1	 after	 2	 2212.jpg	 18	 0	 38.027965	 40.028056	
MRI_faces_104	 2	 1	 after	 2	 1027.jpg	 6	 1	 47.028064	 49.028074	
MRI_faces_104	 2	 1	 after	 2	 1202.jpg	 8	 1	 56.028200	 58.028204	
MRI_faces_104	 2	 1	 after	 2	 1204.jpg	 45	 1	 65.028288	 67.028385	
MRI_faces_104	 2	 1	 after	 2	 1114.jpg	 19	 1	 74.028402	 76.028515	
MRI_faces_104	 2	 1	 after	 2	 1080.jpg	 7	 1	 83.028528	 85.028624	
MRI_faces_104	 2	 1	 after	 2	 2089.jpg	 20	 0	 92.029067	 94.032804	
MRI_faces_104	 2	 1	 after	 2	 2118.jpg	 16	 0	 101.030556	 103.030945	
MRI_faces_104	 2	 1	 after	 2	 1019.jpg	 15	 1	 110.032436	 112.032694	
MRI_faces_104	 2	 1	 after	 2	 1226.jpg	 49	 1	 119.029028	 121.029073	
MRI_faces_104	 2	 1	 after	 2	 1031.jpg	 5	 1	 128.029132	 130.029159	
MRI_faces_104	 2	 1	 after	 2	 2041.jpg	 41	 0	 137.029293	 139.029409	
MRI_faces_104	 2	 1	 after	 2	 1173.jpg	 47	 1	 146.029377	 148.029446	
MRI_faces_104	 2	 1	 after	 2	 1183.jpg	 39	 1	 155.029437	 157.029477	
MRI_faces_104	 2	 1	 after	 2	 1060.jpg	 10	 1	 164.029646	 166.029641	
MRI_faces_104	 2	 1	 after	 2	 2053.jpg	 22	 0	 173.029795	 175.029769	
MRI_faces_104	 2	 1	 after	 2	 1145.jpg	 17	 1	 182.029840	 184.029923	
MRI_faces_104	 2	 1	 after	 2	 2125.jpg	 40	 0	 191.029983	 193.029945	
MRI_faces_104	 2	 1	 after	 2	 2181.jpg	 3	 0	 200.031136	 202.031426	
MRI_faces_104	 2	 1	 after	 2	 2209.jpg	 48	 0	 209.030097	 211.030197	
MRI_faces_104	 2	 1	 after	 2	 2149.jpg	 46	 0	 218.034080	 220.030328	
MRI_faces_104	 2	 1	 after	 2	 2240.jpg	 55	 0	 227.030308	 229.030385	
MRI_faces_104	 2	 1	 after	 2	 1210.jpg	 51	 1	 236.030444	 238.030511	
MRI_faces_104	 2	 1	 after	 2	 2112.jpg	 11	 0	 245.030611	 247.030586	
MRI_faces_104	 2	 1	 after	 2	 1050.jpg	 4	 1	 254.030640	 256.030762	
MRI_faces_104	 2	 1	 after	 2	 1035.jpg	 13	 1	 263.030775	 265.030796	
MRI_faces_104	 2	 1	 after	 2	 1246.jpg	 57	 1	 272.030868	 274.030937	
MRI_faces_104	 2	 1	 after	 2	 2194.jpg	 44	 0	 281.031038	 283.031004	
MRI_faces_104	 2	 1	 after	 2	 1073.jpg	 21	 1	 290.031178	 292.031178	
MRI_faces_104	 2	 1	 after	 2	 1146.jpg	 42	 1	 299.031454	 301.031753	
MRI_faces_104	 2	 1	 after	 2	 1127.jpg	 53	 1	 308.034764	 310.035956	
MRI_faces_104	 2	 1	 after	 2	 2058.jpg	 54	 0	 317.031380	 319.031454	
MRI_faces_104	 2	 1	 after	 2	 2015.jpg	 14	 0	 326.031452	 328.031538	
MRI_faces_104	 2	 1	 after	 2	 2039.jpg	 12	 0	 335.031619	 337.031667	
MRI_faces_104	 2	 1	 after	 2	 1150.jpg	 58	 1	 344.031681	 346.031725	
MRI_faces_104	 2	 1	 after	 2	 1192.jpg	 52	 1	 353.031809	 355.031788	
