subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	
MRI_faces_103	 1	 1	 01	 1	 1	 2.015874e+00	 1150.jpg	 1017.jpg	 49	 52	 0	 x	 2	 999	 999000.00	 0.26	 0.24	 4.017062e+00	 
MRI_faces_103	 1	 1	 01	 1	 2	 9.017151e+00	 1017.jpg	 1226.jpg	 52	 48	 1	 y	 2	 0	 1055.30	 0.24	 0.26	 1.056743e+01	 
MRI_faces_103	 1	 1	 01	 1	 3	 2.201941e+01	 1191.jpg	 1017.jpg	 46	 52	 0	 b	 2	 0	 893.05	 0.30	 0.24	 2.341073e+01	 
MRI_faces_103	 1	 1	 01	 1	 4	 2.602005e+01	 1007.jpg	 1246.jpg	 53	 51	 1	 b	 2	 1	 985.42	 0.23	 0.25	 2.750380e+01	 
MRI_faces_103	 1	 1	 01	 1	 5	 3.102098e+01	 1191.jpg	 1019.jpg	 46	 45	 0	 b	 2	 0	 923.51	 0.30	 0.31	 3.244408e+01	 
MRI_faces_103	 1	 1	 01	 1	 6	 3.402145e+01	 2110.jpg	 2118.jpg	 56	 6	 0	 y	 4	 1	 1287.03	 0.22	 0.81	 3.580525e+01	 
MRI_faces_103	 1	 1	 01	 1	 7	 3.901080e+01	 1027.jpg	 1191.jpg	 44	 46	 1	 y	 2	 0	 1212.67	 0.32	 0.30	 4.072773e+01	 
MRI_faces_103	 1	 1	 01	 1	 8	 4.301077e+01	 1226.jpg	 1019.jpg	 48	 45	 0	 y	 2	 1	 1178.69	 0.26	 0.31	 4.469425e+01	 
MRI_faces_103	 1	 1	 01	 1	 9	 5.201068e+01	 1019.jpg	 1246.jpg	 45	 51	 1	 b	 2	 1	 1048.80	 0.31	 0.25	 5.356108e+01	 
MRI_faces_103	 1	 1	 01	 1	 10	 5.701110e+01	 1027.jpg	 1150.jpg	 44	 49	 1	 x	 2	 999	 999000.00	 0.32	 0.26	 5.901116e+01	 
MRI_faces_103	 1	 1	 01	 1	 11	 6.101108e+01	 1192.jpg	 1017.jpg	 54	 52	 0	 b	 2	 0	 1367.41	 0.23	 0.24	 6.287784e+01	 
MRI_faces_103	 1	 1	 01	 1	 12	 6.801124e+01	 2006.jpg	 2218.jpg	 15	 16	 1	 y	 1	 0	 987.23	 0.67	 0.65	 6.949458e+01	 
MRI_faces_103	 1	 1	 01	 1	 13	 7.201128e+01	 2181.jpg	 2039.jpg	 13	 14	 1	 b	 1	 1	 1029.20	 0.75	 0.69	 7.354526e+01	 
MRI_faces_103	 1	 1	 01	 1	 14	 7.801256e+01	 2125.jpg	 2229.jpg	 9	 10	 0	 y	 1	 1	 1279.92	 0.79	 0.78	 7.979608e+01	 
MRI_faces_103	 1	 1	 01	 1	 15	 8.301337e+01	 2006.jpg	 2039.jpg	 15	 14	 1	 y	 1	 0	 970.12	 0.67	 0.69	 8.448043e+01	 
MRI_faces_103	 1	 1	 01	 1	 16	 8.701407e+01	 2089.jpg	 2218.jpg	 18	 16	 1	 y	 1	 0	 992.41	 0.64	 0.65	 8.851161e+01	 
MRI_faces_103	 1	 1	 01	 1	 17	 9.001464e+01	 1210.jpg	 2063.jpg	 7	 8	 1	 y	 1	 0	 1023.83	 0.80	 0.80	 9.153171e+01	 
MRI_faces_103	 1	 1	 01	 1	 18	 9.301509e+01	 1027.jpg	 1226.jpg	 44	 48	 1	 b	 2	 1	 1195.37	 0.32	 0.26	 9.471554e+01	 
MRI_faces_103	 1	 1	 01	 1	 19	 9.701587e+01	 2125.jpg	 2089.jpg	 9	 18	 0	 b	 1	 0	 1032.60	 0.79	 0.64	 9.854967e+01	 
MRI_faces_103	 1	 1	 01	 1	 20	 1.100181e+02	 1146.jpg	 1017.jpg	 43	 52	 0	 b	 2	 0	 1303.40	 0.34	 0.24	 1.118186e+02	 
MRI_faces_103	 1	 1	 01	 1	 21	 1.140188e+02	 2089.jpg	 2039.jpg	 18	 14	 1	 y	 1	 0	 1164.67	 0.64	 0.69	 1.156786e+02	 
MRI_faces_103	 1	 1	 01	 1	 22	 1.170194e+02	 2229.jpg	 2039.jpg	 10	 14	 1	 b	 1	 1	 1152.09	 0.78	 0.69	 1.186697e+02	 
MRI_faces_103	 1	 1	 01	 1	 23	 1.220202e+02	 2229.jpg	 2149.jpg	 10	 17	 1	 b	 1	 1	 973.30	 0.78	 0.65	 1.234873e+02	 
MRI_faces_103	 1	 1	 01	 1	 24	 1.250120e+02	 2218.jpg	 2181.jpg	 16	 13	 0	 x	 1	 999	 999000.00	 0.65	 0.75	 1.270121e+02	 
MRI_faces_103	 1	 1	 01	 1	 25	 1.290120e+02	 1226.jpg	 1007.jpg	 48	 53	 0	 y	 2	 1	 1106.52	 0.26	 0.23	 1.306225e+02	 
MRI_faces_103	 1	 1	 01	 1	 26	 1.350121e+02	 1262.jpg	 2118.jpg	 55	 6	 0	 y	 4	 1	 981.39	 0.23	 0.81	 1.364956e+02	 
MRI_faces_103	 1	 1	 01	 1	 27	 1.380121e+02	 1192.jpg	 1052.jpg	 54	 47	 0	 b	 2	 0	 1200.39	 0.23	 0.27	 1.397123e+02	 
MRI_faces_103	 1	 1	 01	 1	 28	 1.420120e+02	 1226.jpg	 1052.jpg	 48	 47	 0	 y	 2	 1	 839.52	 0.26	 0.27	 1.433574e+02	 
MRI_faces_103	 1	 1	 01	 1	 29	 1.470123e+02	 2089.jpg	 2063.jpg	 18	 8	 1	 b	 1	 1	 838.21	 0.64	 0.80	 1.483582e+02	 
MRI_faces_103	 1	 1	 01	 1	 30	 1.510123e+02	 2218.jpg	 1210.jpg	 16	 7	 0	 b	 1	 0	 1346.15	 0.65	 0.80	 1.528625e+02	 
MRI_faces_103	 1	 1	 01	 1	 31	 1.630125e+02	 1027.jpg	 1146.jpg	 44	 43	 1	 y	 2	 0	 1221.00	 0.32	 0.34	 1.647293e+02	 
