subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
MRI_faces_107	 1	 10	 2045.jpg	 1.240375e+02	 11	 9.200825e+02	 110	 6.502924e+02	 98	 1.250541e+02	 666.68	 583.34	 15.00	 38	 0.66	 
MRI_faces_107	 1	 10	 2015.jpg	 1.270318e+02	 12	 999000	 120	 999000	 999	 1.280486e+02	 666.68	 583.34	 8.00	 33	 0.82	 
MRI_faces_107	 1	 10	 1150.jpg	 1.310325e+02	 24	 999000	 240	 999000	 999	 1.320495e+02	 666.68	 583.34	 51.00	 18	 0.22	 
MRI_faces_107	 1	 10	 1262.jpg	 1.340331e+02	 12	 999000	 120	 999000	 999	 1.350499e+02	 666.68	 583.34	 16.00	 30	 0.66	 
MRI_faces_107	 1	 10	 1183.jpg	 1.380337e+02	 22	 8.168386e+02	 220	 5.835993e+02	 98	 1.390507e+02	 666.68	 600.01	 45.00	 20	 0.31	 
MRI_faces_107	 1	 10	 2010.jpg	 1.410343e+02	 12	 999000	 120	 999000	 999	 1.420511e+02	 666.68	 600.01	 5.00	 32	 0.85	 
MRI_faces_107	 1	 10	 1204.jpg	 1.430348e+02	 24	 999000	 240	 999000	 999	 1.440514e+02	 666.68	 600.01	 43.00	 24	 0.32	 
MRI_faces_107	 1	 10	 2094.jpg	 1.460351e+02	 12	 999000	 120	 999000	 999	 1.470519e+02	 666.68	 600.01	 20.00	 43	 0.62	 
MRI_faces_107	 1	 10	 2212.jpg	 1.490356e+02	 12	 999000	 120	 999000	 999	 1.500545e+02	 666.68	 600.01	 11.00	 56	 0.78	 
MRI_faces_107	 1	 10	 1226.jpg	 1.540213e+02	 22	 9.272570e+02	 220	 6.002820e+02	 98	 1.550379e+02	 666.68	 616.67	 50.00	 27	 0.22	 
MRI_faces_107	 1	 10	 2229.jpg	 1.560213e+02	 12	 999000	 120	 999000	 999	 1.570379e+02	 666.68	 616.67	 3.00	 58	 0.86	 
MRI_faces_107	 1	 10	 1192.jpg	 1.580214e+02	 24	 999000	 240	 999000	 999	 1.590380e+02	 666.68	 616.67	 55.00	 22	 0.18	 
MRI_faces_107	 1	 10	 2128.jpg	 1.620215e+02	 11	 9.710648e+02	 110	 6.669348e+02	 98	 1.630382e+02	 683.34	 616.67	 18.00	 48	 0.64	 
MRI_faces_107	 1	 10	 2248.jpg	 1.690226e+02	 11	 1.091945e+03	 1100	 6.836275e+02	 98	 1.700395e+02	 633.34	 616.67	 13.00	 60	 0.71	 
MRI_faces_107	 1	 10	 1114.jpg	 1.710229e+02	 12	 999000	 120	 999000	 999	 1.720397e+02	 633.34	 616.67	 17.00	 13	 0.64	 
MRI_faces_107	 1	 10	 1210.jpg	 1.730233e+02	 24	 999000	 240	 999000	 999	 1.740402e+02	 633.34	 616.67	 39.00	 25	 0.38	 
MRI_faces_107	 1	 10	 2125.jpg	 1.750237e+02	 11	 8.719124e+02	 110	 6.336274e+02	 98	 1.760404e+02	 650.01	 616.67	 10.00	 47	 0.79	 
MRI_faces_107	 1	 10	 1145.jpg	 1.770239e+02	 24	 999000	 240	 999000	 999	 1.780407e+02	 650.01	 616.67	 49.00	 16	 0.23	 
MRI_faces_107	 1	 10	 1246.jpg	 1.790243e+02	 24	 999000	 240	 999000	 999	 1.800411e+02	 650.01	 616.67	 54.00	 28	 0.21	 
MRI_faces_107	 1	 10	 2153.jpg	 1.820248e+02	 11	 9.148204e+02	 110	 6.502919e+02	 98	 1.830416e+02	 666.68	 616.67	 7.00	 50	 0.83	 
MRI_faces_107	 1	 10	 1013.jpg	 1.840252e+02	 24	 999000	 240	 999000	 999	 1.850420e+02	 666.68	 616.67	 41.00	 2	 0.37	 
MRI_faces_107	 1	 10	 2112.jpg	 1.860255e+02	 12	 999000	 120	 999000	 999	 1.870424e+02	 666.68	 616.67	 4.00	 45	 0.85	 
MRI_faces_107	 1	 10	 2041.jpg	 1.900262e+02	 12	 999000	 120	 999000	 999	 1.910430e+02	 666.68	 616.67	 14.00	 36	 0.70	 
MRI_faces_107	 1	 10	 2024.jpg	 1.940270e+02	 11	 9.406108e+02	 110	 6.669496e+02	 98	 1.950438e+02	 683.34	 616.67	 12.00	 34	 0.77	 
MRI_faces_107	 1	 10	 2181.jpg	 2.000280e+02	 12	 999000	 120	 999000	 999	 2.010448e+02	 683.34	 616.67	 9.00	 53	 0.81	 
MRI_faces_107	 1	 10	 2194.jpg	 2.020284e+02	 22	 1.003223e+03	 2200	 6.169458e+02	 98	 2.030464e+02	 683.34	 566.67	 52.00	 54	 0.22	 
MRI_faces_107	 1	 10	 1027.jpg	 2.040287e+02	 12	 999000	 120	 999000	 999	 2.050455e+02	 683.34	 566.67	 19.00	 5	 0.64	 
MRI_faces_107	 1	 10	 1017.jpg	 2.060290e+02	 24	 999000	 240	 999000	 999	 2.070459e+02	 683.34	 566.67	 48.00	 3	 0.23	 
MRI_faces_107	 1	 10	 1146.jpg	 2.100300e+02	 24	 999000	 240	 999000	 999	 2.110466e+02	 683.34	 566.67	 57.00	 17	 0.14	 
MRI_faces_107	 1	 10	 2043.jpg	 2.120301e+02	 24	 999000	 240	 999000	 999	 2.130470e+02	 683.34	 566.67	 42.00	 37	 0.34	 
MRI_faces_107	 1	 10	 1127.jpg	 2.140304e+02	 24	 999000	 240	 999000	 999	 2.150472e+02	 683.34	 566.67	 56.00	 14	 0.18	 
MRI_faces_107	 1	 10	 2039.jpg	 2.160308e+02	 12	 999000	 120	 999000	 999	 2.170475e+02	 683.34	 566.67	 6.00	 35	 0.84	 
MRI_faces_107	 1	 10	 1216.jpg	 2.200315e+02	 24	 999000	 240	 999000	 999	 2.210483e+02	 683.34	 566.67	 46.00	 26	 0.25	 
MRI_faces_107	 1	 10	 2118.jpg	 2.240322e+02	 12	 999000	 120	 999000	 999	 2.250490e+02	 683.34	 566.67	 22.00	 46	 0.61	 
MRI_faces_107	 1	 10	 2149.jpg	 2.270327e+02	 24	 999000	 240	 999000	 999	 2.280495e+02	 683.34	 566.67	 40.00	 49	 0.37	 
MRI_faces_107	 1	 10	 1052.jpg	 2.320338e+02	 22	 8.518153e+02	 220	 5.669891e+02	 98	 2.330504e+02	 683.34	 583.34	 53.00	 9	 0.22	 
MRI_faces_107	 1	 10	 1173.jpg	 2.340340e+02	 24	 999000	 240	 999000	 999	 2.350508e+02	 683.34	 583.34	 58.00	 19	 0.13	 
MRI_faces_107	 1	 10	 1073.jpg	 2.370345e+02	 12	 999000	 120	 999000	 999	 2.380513e+02	 683.34	 583.34	 21.00	 11	 0.62	 
MRI_faces_107	 1	 10	 2164.jpg	 2.410352e+02	 22	 8.584113e+02	 220	 5.836064e+02	 98	 2.420520e+02	 683.34	 600.01	 47.00	 52	 0.24	 
MRI_faces_107	 1	 10	 1191.jpg	 2.440358e+02	 22	 8.688153e+02	 220	 6.002820e+02	 98	 2.450526e+02	 683.34	 616.67	 44.00	 21	 0.31	 
