subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	isMale?	onsettime	fixationTime
MRI_faces_111	 1	 1	 before	 1	 1202.jpg	 9	 1	 2.153030	 4.019805	
MRI_faces_111	 1	 1	 before	 1	 1073.jpg	 40	 1	 6.019757	 8.019860	
MRI_faces_111	 1	 1	 before	 1	 2058.jpg	 54	 0	 11.019835	 13.019959	
MRI_faces_111	 1	 1	 before	 1	 1027.jpg	 49	 1	 15.020275	 17.020737	
MRI_faces_111	 1	 1	 before	 1	 2089.jpg	 21	 0	 20.021207	 22.021579	
MRI_faces_111	 1	 1	 before	 1	 1191.jpg	 16	 1	 24.021924	 26.022207	
MRI_faces_111	 1	 1	 before	 1	 2149.jpg	 51	 0	 27.022488	 29.022796	
MRI_faces_111	 1	 1	 before	 1	 1052.jpg	 15	 1	 31.023183	 33.023546	
MRI_faces_111	 1	 1	 before	 1	 1035.jpg	 8	 1	 35.023771	 37.020228	
MRI_faces_111	 1	 1	 before	 1	 2181.jpg	 13	 0	 41.020389	 43.020388	
MRI_faces_111	 1	 1	 before	 1	 2015.jpg	 18	 0	 44.020364	 46.020366	
MRI_faces_111	 1	 1	 before	 1	 1050.jpg	 3	 1	 47.020432	 49.020496	
MRI_faces_111	 1	 1	 before	 1	 2041.jpg	 48	 0	 52.020510	 54.020556	
MRI_faces_111	 1	 1	 before	 1	 1226.jpg	 41	 1	 60.020650	 62.020597	
MRI_faces_111	 1	 1	 before	 1	 1019.jpg	 50	 1	 63.020648	 65.020702	
MRI_faces_111	 1	 1	 before	 1	 2118.jpg	 20	 0	 66.020742	 68.020704	
MRI_faces_111	 1	 1	 before	 1	 1173.jpg	 46	 1	 69.020770	 71.020794	
MRI_faces_111	 1	 1	 before	 1	 2240.jpg	 45	 0	 72.020803	 74.020776	
MRI_faces_111	 1	 1	 before	 1	 2010.jpg	 4	 0	 75.020866	 77.020876	
MRI_faces_111	 1	 1	 before	 1	 2063.jpg	 17	 0	 79.020893	 81.020977	
MRI_faces_111	 1	 1	 before	 1	 1146.jpg	 22	 1	 82.020878	 84.020992	
MRI_faces_111	 1	 1	 before	 1	 2128.jpg	 57	 0	 85.020893	 87.021024	
MRI_faces_111	 1	 1	 before	 1	 2125.jpg	 47	 0	 90.021078	 92.021076	
MRI_faces_111	 1	 1	 before	 1	 2248.jpg	 6	 0	 95.021122	 97.021095	
MRI_faces_111	 1	 1	 before	 1	 1255.jpg	 19	 1	 102.021195	 104.021189	
MRI_faces_111	 1	 1	 before	 1	 2110.jpg	 53	 0	 105.021159	 107.021338	
MRI_faces_111	 1	 1	 before	 1	 1216.jpg	 7	 1	 108.021205	 110.021347	
MRI_faces_111	 1	 1	 before	 1	 1204.jpg	 42	 1	 111.021295	 113.021373	
MRI_faces_111	 1	 1	 before	 1	 2155.jpg	 58	 0	 116.021356	 118.021755	
MRI_faces_111	 1	 1	 before	 1	 2209.jpg	 43	 0	 119.021896	 121.022145	
MRI_faces_111	 1	 1	 before	 1	 2218.jpg	 44	 0	 122.022361	 124.022749	
MRI_faces_111	 1	 1	 before	 1	 1246.jpg	 5	 1	 125.022923	 127.023179	
MRI_faces_111	 1	 1	 before	 1	 2164.jpg	 56	 0	 130.023799	 132.024122	
MRI_faces_111	 1	 1	 before	 1	 1150.jpg	 55	 1	 135.021641	 137.021657	
MRI_faces_111	 1	 1	 before	 1	 2094.jpg	 52	 0	 139.021665	 141.021633	
MRI_faces_111	 1	 1	 before	 1	 2045.jpg	 39	 0	 145.021685	 147.021836	
MRI_faces_111	 1	 1	 before	 1	 1127.jpg	 12	 1	 148.021829	 150.021828	
MRI_faces_111	 1	 1	 before	 1	 1130.jpg	 10	 1	 152.021857	 154.021813	
MRI_faces_111	 1	 1	 before	 1	 1031.jpg	 11	 1	 157.021911	 159.021876	
MRI_faces_111	 1	 1	 before	 1	 2153.jpg	 14	 0	 161.021910	 163.021986	
