Subject	StimName	StimNum	Rank	Wins	Loses	Total
MRI_faces_114	1007.jpg	1	4.952464e-01	5	5	10
MRI_faces_114	1013.jpg	2	5.514096e-01	6	4	10
MRI_faces_114	1017.jpg	3	6.557141e-01	7	3	10
MRI_faces_114	1019.jpg	4	7.639819e-01	9	1	10
MRI_faces_114	1027.jpg	5	4.817217e-01	4	6	10
MRI_faces_114	1031.jpg	6	8.660753e-01	9	1	10
MRI_faces_114	1035.jpg	7	4.674752e-01	5	5	10
MRI_faces_114	1050.jpg	8	8.792486e-01	10	0	10
MRI_faces_114	1052.jpg	9	5.010535e-01	4	6	10
MRI_faces_114	1060.jpg	10	4.570023e-01	4	6	10
MRI_faces_114	1073.jpg	11	8.098992e-01	8	2	10
MRI_faces_114	1080.jpg	12	3.129156e-01	3	7	10
MRI_faces_114	1114.jpg	13	8.746241e-01	10	0	10
MRI_faces_114	1127.jpg	14	6.045940e-01	7	3	10
MRI_faces_114	1130.jpg	15	4.775625e-01	4	6	10
MRI_faces_114	1145.jpg	16	6.091475e-01	6	4	10
MRI_faces_114	1146.jpg	17	7.283451e-01	8	2	10
MRI_faces_114	1150.jpg	18	2.572403e-01	2	8	10
MRI_faces_114	1173.jpg	19	4.655570e-01	5	5	10
MRI_faces_114	1183.jpg	20	3.266082e-01	3	7	10
MRI_faces_114	1191.jpg	21	3.457051e-01	4	6	10
MRI_faces_114	1192.jpg	22	6.780052e-01	7	3	10
MRI_faces_114	1202.jpg	23	5.324140e-01	5	5	10
MRI_faces_114	1204.jpg	24	2.872646e-01	2	8	10
MRI_faces_114	1210.jpg	25	6.469603e-01	7	3	10
MRI_faces_114	1216.jpg	26	6.694729e-01	7	3	10
MRI_faces_114	1226.jpg	27	3.572683e-01	3	7	10
MRI_faces_114	1246.jpg	28	3.662370e-01	2	8	10
MRI_faces_114	1255.jpg	29	4.648494e-01	4	6	10
MRI_faces_114	1262.jpg	30	1.603132e-01	1	9	10
MRI_faces_114	2006.jpg	31	7.954509e-01	9	1	10
MRI_faces_114	2010.jpg	32	4.353768e-01	4	6	10
MRI_faces_114	2015.jpg	33	4.797748e-01	5	5	10
MRI_faces_114	2024.jpg	34	2.125143e-01	1	9	10
MRI_faces_114	2039.jpg	35	4.293895e-01	3	7	10
MRI_faces_114	2041.jpg	36	6.104003e-01	6	4	10
MRI_faces_114	2043.jpg	37	3.014509e-01	3	7	10
MRI_faces_114	2045.jpg	38	2.576032e-01	2	8	10
MRI_faces_114	2053.jpg	39	7.342455e-01	8	2	10
MRI_faces_114	2058.jpg	40	8.977509e-02	0	10	10
MRI_faces_114	2063.jpg	41	4.560106e-01	4	5	9
MRI_faces_114	2089.jpg	42	7.224229e-01	9	1	10
MRI_faces_114	2094.jpg	43	3.900619e-01	5	5	10
MRI_faces_114	2110.jpg	44	5.563858e-02	0	10	10
MRI_faces_114	2112.jpg	45	3.198746e-01	3	7	10
MRI_faces_114	2118.jpg	46	9.266816e-01	9	1	10
MRI_faces_114	2125.jpg	47	6.320019e-01	7	3	10
MRI_faces_114	2128.jpg	48	2.575660e-01	2	8	10
MRI_faces_114	2149.jpg	49	6.858614e-02	0	10	10
MRI_faces_114	2153.jpg	50	7.819430e-01	9	1	10
MRI_faces_114	2155.jpg	51	3.865766e-01	4	6	10
MRI_faces_114	2164.jpg	52	4.052090e-01	4	6	10
MRI_faces_114	2181.jpg	53	7.535308e-01	8	2	10
MRI_faces_114	2194.jpg	54	2.048006e-01	1	9	10
MRI_faces_114	2209.jpg	55	5.347998e-01	5	5	10
MRI_faces_114	2212.jpg	56	7.369684e-01	8	2	10
MRI_faces_114	2218.jpg	57	4.656608e-01	5	5	10
MRI_faces_114	2229.jpg	58	3.855648e-01	3	6	9
MRI_faces_114	2240.jpg	59	2.533640e-01	2	8	10
MRI_faces_114	2248.jpg	60	8.228447e-01	9	1	10
