subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
MRI_faces_119	 1	 11	 1127.jpg	 2.397046e+00	 24	 999000	 240	 999000	 999	 3.414427e+00	 750.00	 749.99	 48.00	 14	 0.28	 
MRI_faces_119	 1	 11	 1052.jpg	 5.380581e+00	 24	 999000	 240	 999000	 999	 6.397543e+00	 750.00	 749.99	 46.00	 9	 0.31	 
MRI_faces_119	 1	 11	 2043.jpg	 9.381345e+00	 11	 1.098711e+03	 1100	 7.519382e+02	 98	 1.039815e+01	 700.00	 749.99	 18.00	 37	 0.66	 
MRI_faces_119	 1	 11	 1035.jpg	 1.238183e+01	 11	 9.932107e+02	 110	 7.002727e+02	 98	 1.339867e+01	 716.67	 749.99	 15.00	 7	 0.70	 
MRI_faces_119	 1	 11	 2248.jpg	 1.638259e+01	 11	 1.155439e+03	 1100	 7.169475e+02	 98	 1.739939e+01	 666.67	 749.99	 7.00	 60	 0.81	 
MRI_faces_119	 1	 11	 1017.jpg	 1.938316e+01	 24	 999000	 240	 999000	 999	 2.039997e+01	 666.67	 749.99	 57.00	 3	 0.14	 
MRI_faces_119	 1	 11	 2125.jpg	 2.138338e+01	 11	 8.956408e+02	 110	 6.669300e+02	 98	 2.240027e+01	 683.33	 749.99	 12.00	 47	 0.76	 
MRI_faces_119	 1	 11	 1191.jpg	 2.438395e+01	 22	 9.261058e+02	 220	 7.517723e+02	 98	 2.540071e+01	 683.33	 766.66	 47.00	 21	 0.30	 
MRI_faces_119	 1	 11	 2089.jpg	 2.738447e+01	 12	 999000	 120	 999000	 999	 2.840124e+01	 683.33	 766.66	 22.00	 42	 0.58	 
MRI_faces_119	 1	 11	 2110.jpg	 3.238507e+01	 11	 8.439617e+02	 110	 6.836069e+02	 98	 3.340221e+01	 700.00	 766.66	 13.00	 44	 0.75	 
MRI_faces_119	 1	 11	 1173.jpg	 3.438572e+01	 22	 9.703134e+02	 220	 7.669341e+02	 98	 3.540256e+01	 700.00	 783.32	 44.00	 19	 0.33	 
MRI_faces_119	 1	 11	 1226.jpg	 3.638587e+01	 22	 9.851569e+02	 220	 7.836050e+02	 98	 3.740309e+01	 700.00	 799.99	 53.00	 27	 0.23	 
MRI_faces_119	 1	 11	 1192.jpg	 4.038656e+01	 24	 999000	 240	 999000	 999	 4.140353e+01	 700.00	 799.99	 51.00	 22	 0.26	 
MRI_faces_119	 1	 11	 2153.jpg	 4.738775e+01	 12	 999000	 120	 999000	 999	 4.840485e+01	 700.00	 799.99	 20.00	 50	 0.64	 
MRI_faces_119	 1	 11	 1246.jpg	 4.938842e+01	 24	 999000	 240	 999000	 999	 5.040512e+01	 700.00	 799.99	 55.00	 28	 0.19	 
MRI_faces_119	 1	 11	 2164.jpg	 5.138889e+01	 12	 999000	 120	 999000	 999	 5.240554e+01	 700.00	 799.99	 17.00	 52	 0.68	 
MRI_faces_119	 1	 11	 2112.jpg	 5.338890e+01	 12	 999000	 120	 999000	 999	 5.440588e+01	 700.00	 799.99	 19.00	 45	 0.66	 
MRI_faces_119	 1	 11	 1150.jpg	 5.538917e+01	 24	 999000	 240	 999000	 999	 5.640615e+01	 700.00	 799.99	 56.00	 18	 0.15	 
MRI_faces_119	 1	 11	 2218.jpg	 5.738979e+01	 22	 1.076240e+03	 2200	 8.003016e+02	 98	 5.840655e+01	 700.00	 749.99	 50.00	 57	 0.27	 
MRI_faces_119	 1	 11	 2094.jpg	 6.039008e+01	 12	 999000	 120	 999000	 999	 6.140674e+01	 700.00	 749.99	 3.00	 43	 0.86	 
MRI_faces_119	 1	 11	 1145.jpg	 6.239064e+01	 24	 999000	 240	 999000	 999	 6.340747e+01	 700.00	 749.99	 54.00	 16	 0.21	 
MRI_faces_119	 1	 11	 1146.jpg	 6.439077e+01	 24	 999000	 240	 999000	 999	 6.540760e+01	 700.00	 749.99	 39.00	 17	 0.39	 
MRI_faces_119	 1	 11	 2015.jpg	 6.837802e+01	 12	 999000	 120	 999000	 999	 6.939450e+01	 700.00	 749.99	 21.00	 33	 0.61	 
MRI_faces_119	 1	 11	 2181.jpg	 7.237813e+01	 12	 999000	 120	 999000	 999	 7.339464e+01	 700.00	 749.99	 8.00	 53	 0.81	 
MRI_faces_119	 1	 11	 2041.jpg	 7.837828e+01	 24	 999000	 240	 999000	 999	 7.939461e+01	 700.00	 749.99	 43.00	 36	 0.34	 
MRI_faces_119	 1	 11	 2194.jpg	 8.037818e+01	 12	 999000	 120	 999000	 999	 8.139481e+01	 700.00	 749.99	 14.00	 54	 0.74	 
MRI_faces_119	 1	 11	 2128.jpg	 8.237825e+01	 22	 1.079770e+03	 2200	 7.502519e+02	 98	 8.339485e+01	 700.00	 699.99	 45.00	 48	 0.31	 
MRI_faces_119	 1	 11	 2155.jpg	 8.437829e+01	 24	 999000	 240	 999000	 999	 8.539499e+01	 700.00	 699.99	 49.00	 51	 0.28	 
MRI_faces_119	 1	 11	 2118.jpg	 8.837854e+01	 12	 999000	 120	 999000	 999	 8.939512e+01	 700.00	 699.99	 9.00	 46	 0.80	 
MRI_faces_119	 1	 11	 2212.jpg	 9.037906e+01	 12	 999000	 120	 999000	 999	 9.139567e+01	 700.00	 699.99	 5.00	 56	 0.84	 
MRI_faces_119	 1	 11	 2053.jpg	 9.237946e+01	 12	 999000	 120	 999000	 999	 9.339600e+01	 700.00	 699.99	 6.00	 39	 0.83	 
MRI_faces_119	 1	 11	 1019.jpg	 9.437955e+01	 12	 999000	 120	 999000	 999	 9.539638e+01	 700.00	 699.99	 11.00	 4	 0.78	 
MRI_faces_119	 1	 11	 2229.jpg	 9.838026e+01	 12	 999000	 120	 999000	 999	 9.939711e+01	 700.00	 699.99	 16.00	 58	 0.69	 
MRI_faces_119	 1	 11	 1073.jpg	 1.023810e+02	 22	 9.030535e+02	 220	 7.002673e+02	 98	 1.033978e+02	 700.00	 716.66	 52.00	 11	 0.24	 
MRI_faces_119	 1	 11	 1216.jpg	 1.053816e+02	 24	 999000	 240	 999000	 999	 1.063983e+02	 700.00	 716.66	 42.00	 26	 0.36	 
MRI_faces_119	 1	 11	 1050.jpg	 1.103824e+02	 24	 999000	 240	 999000	 999	 1.113992e+02	 700.00	 716.66	 41.00	 8	 0.36	 
MRI_faces_119	 1	 11	 1080.jpg	 1.123828e+02	 12	 999000	 120	 999000	 999	 1.133995e+02	 700.00	 716.66	 4.00	 12	 0.84	 
MRI_faces_119	 1	 11	 2240.jpg	 1.153833e+02	 24	 999000	 240	 999000	 999	 1.164001e+02	 700.00	 716.66	 58.00	 59	 0.09	 
MRI_faces_119	 1	 11	 1210.jpg	 1.193839e+02	 24	 999000	 240	 999000	 999	 1.204008e+02	 700.00	 716.66	 40.00	 25	 0.37	 
MRI_faces_119	 1	 11	 2063.jpg	 1.223845e+02	 11	 8.785576e+02	 110	 7.002654e+02	 98	 1.234015e+02	 716.67	 716.66	 10.00	 41	 0.78	 
