subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	
MRI_faces_121	 1	 1	 01	 1	 1	 2.021787e+00	 2058.jpg	 2194.jpg	 52	 49	 1	 b	 2	 1	 915.13	 0.30	 0.32	 3.439597e+00	 
MRI_faces_121	 1	 1	 01	 1	 2	 6.021804e+00	 2045.jpg	 2112.jpg	 46	 50	 0	 y	 2	 1	 744.12	 0.34	 0.30	 7.264419e+00	 
MRI_faces_121	 1	 1	 01	 1	 3	 9.021827e+00	 2043.jpg	 2181.jpg	 15	 8	 1	 y	 1	 0	 739.08	 0.66	 0.77	 1.025531e+01	 
MRI_faces_121	 1	 1	 01	 1	 4	 1.402187e+01	 2181.jpg	 1031.jpg	 8	 7	 0	 y	 1	 1	 638.05	 0.77	 0.78	 1.515551e+01	 
MRI_faces_121	 1	 1	 01	 1	 5	 1.702199e+01	 2043.jpg	 2110.jpg	 15	 11	 1	 b	 1	 1	 730.93	 0.66	 0.71	 1.825538e+01	 
MRI_faces_121	 1	 1	 01	 1	 6	 2.002202e+01	 2015.jpg	 2058.jpg	 48	 52	 0	 b	 2	 0	 783.91	 0.33	 0.30	 2.130549e+01	 
MRI_faces_121	 1	 1	 01	 1	 7	 3.402225e+01	 2058.jpg	 2164.jpg	 52	 54	 1	 b	 2	 1	 669.68	 0.30	 0.29	 3.518908e+01	 
MRI_faces_121	 1	 1	 01	 1	 8	 3.802229e+01	 2045.jpg	 2089.jpg	 46	 53	 0	 y	 2	 1	 847.63	 0.34	 0.30	 3.936998e+01	 
MRI_faces_121	 1	 1	 01	 1	 9	 4.202235e+01	 2089.jpg	 2164.jpg	 53	 54	 1	 b	 2	 1	 676.56	 0.30	 0.29	 4.318927e+01	 
MRI_faces_121	 1	 1	 01	 1	 10	 4.502238e+01	 2089.jpg	 2015.jpg	 53	 48	 1	 y	 2	 0	 671.53	 0.30	 0.33	 4.618911e+01	 
MRI_faces_121	 1	 1	 01	 1	 11	 4.802244e+01	 1191.jpg	 2043.jpg	 9	 15	 0	 b	 1	 0	 722.48	 0.77	 0.66	 4.923922e+01	 
MRI_faces_121	 1	 1	 01	 1	 12	 5.302254e+01	 1073.jpg	 1145.jpg	 17	 10	 0	 b	 1	 0	 738.40	 0.61	 0.72	 5.425596e+01	 
MRI_faces_121	 1	 1	 01	 1	 13	 5.602281e+01	 2045.jpg	 1183.jpg	 46	 45	 0	 y	 2	 1	 886.13	 0.34	 0.35	 5.740651e+01	 
MRI_faces_121	 1	 1	 01	 1	 14	 6.602265e+01	 2164.jpg	 1226.jpg	 54	 44	 0	 y	 2	 1	 770.29	 0.29	 0.35	 6.729153e+01	 
MRI_faces_121	 1	 1	 01	 1	 15	 7.202278e+01	 2089.jpg	 2041.jpg	 53	 51	 1	 y	 2	 0	 867.15	 0.30	 0.30	 7.338954e+01	 
MRI_faces_121	 1	 1	 01	 1	 16	 7.502283e+01	 1246.jpg	 2112.jpg	 43	 50	 0	 y	 2	 1	 690.08	 0.38	 0.30	 7.620984e+01	 
MRI_faces_121	 1	 1	 01	 1	 17	 7.902282e+01	 2043.jpg	 1146.jpg	 15	 14	 1	 y	 1	 0	 760.11	 0.66	 0.68	 8.027715e+01	 
MRI_faces_121	 1	 1	 01	 1	 18	 8.402287e+01	 1073.jpg	 1031.jpg	 17	 7	 0	 y	 1	 1	 786.07	 0.61	 0.78	 8.530636e+01	 
MRI_faces_121	 1	 1	 01	 1	 19	 9.102304e+01	 1145.jpg	 1052.jpg	 10	 16	 1	 y	 1	 0	 649.89	 0.72	 0.63	 9.217326e+01	 
MRI_faces_121	 1	 1	 01	 1	 20	 9.602310e+01	 2058.jpg	 2045.jpg	 52	 46	 1	 b	 2	 1	 817.83	 0.30	 0.34	 9.733980e+01	 
MRI_faces_121	 1	 1	 01	 1	 21	 9.902315e+01	 1204.jpg	 2153.jpg	 56	 6	 0	 y	 4	 1	 721.77	 0.25	 0.82	 1.002398e+02	 
