subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
MRI_faces_125	 1	 14	 2248.jpg	 1.242009e+02	 11	 9.282358e+02	 110	 7.836665e+02	 98	 1.252177e+02	 800.01	 850.00	 12.00	 60	 0.74	 
MRI_faces_125	 1	 14	 1027.jpg	 1.282018e+02	 22	 1.008500e+03	 2200	 8.502865e+02	 98	 1.292432e+02	 800.01	 800.00	 52.00	 5	 0.25	 
MRI_faces_125	 1	 14	 1007.jpg	 1.302020e+02	 12	 999000	 120	 999000	 999	 1.312188e+02	 800.01	 800.00	 21.00	 1	 0.60	 
MRI_faces_125	 1	 14	 2112.jpg	 1.352029e+02	 12	 999000	 120	 999000	 999	 1.362199e+02	 800.01	 800.00	 16.00	 45	 0.66	 
MRI_faces_125	 1	 14	 1017.jpg	 1.372032e+02	 12	 999000	 120	 999000	 999	 1.382201e+02	 800.01	 800.00	 22.00	 3	 0.59	 
MRI_faces_125	 1	 14	 2024.jpg	 1.392036e+02	 24	 999000	 240	 999000	 999	 1.402203e+02	 800.01	 800.00	 46.00	 34	 0.31	 
MRI_faces_125	 1	 14	 2041.jpg	 1.431934e+02	 11	 9.267683e+02	 110	 8.002427e+02	 98	 1.442101e+02	 816.67	 800.00	 13.00	 36	 0.73	 
MRI_faces_125	 1	 14	 2015.jpg	 1.451934e+02	 12	 999000	 120	 999000	 999	 1.462101e+02	 816.67	 800.00	 5.00	 33	 0.83	 
MRI_faces_125	 1	 14	 1173.jpg	 1.471935e+02	 22	 9.477151e+02	 220	 8.002585e+02	 98	 1.482103e+02	 816.67	 816.67	 53.00	 19	 0.23	 
MRI_faces_125	 1	 14	 1031.jpg	 1.501936e+02	 11	 9.696194e+02	 110	 8.169433e+02	 98	 1.512102e+02	 833.34	 816.67	 18.00	 6	 0.66	 
MRI_faces_125	 1	 14	 2045.jpg	 1.521935e+02	 24	 999000	 240	 999000	 999	 1.532102e+02	 833.34	 816.67	 51.00	 38	 0.26	 
MRI_faces_125	 1	 14	 1192.jpg	 1.561936e+02	 24	 999000	 240	 999000	 999	 1.572102e+02	 833.34	 816.67	 55.00	 22	 0.20	 
MRI_faces_125	 1	 14	 1226.jpg	 1.621937e+02	 24	 999000	 240	 999000	 999	 1.632103e+02	 833.34	 816.67	 56.00	 27	 0.20	 
MRI_faces_125	 1	 14	 2039.jpg	 1.651939e+02	 22	 9.743497e+02	 220	 8.169265e+02	 98	 1.662104e+02	 833.34	 833.33	 45.00	 35	 0.31	 
