trial,time,stimulus,RT,KeyPressed,Is correct
1,,Fixation,,,
2,,Fixation,,,
3,,Fixation,,,
4,,Fixation,,,
5,,Fixation,,,
6,,Fixation,,,
7,,Fixation,,,
8,,Fixation,,,
9,,Fixation,,,
10,,Fixation,,,
11,,Fixation,,,
12,,Fixation,,,
13,,Fixation,,,
14,,Fixation,,,
15,,Fixation,,,
16,,Fixation,,,
17,16.0436,MVI_0917_new.avi,none,none,TRUE
18,17.0444,MVI_0922_new.avi,none,none,TRUE
19,18.0416,MVI_0935_new.avi,none,none,TRUE
20,19.0417,MVI_0930_new.avi,none,none,TRUE
21,20.0418,MVI_0937_new.avi,none,none,TRUE
22,21.0418,MVI_0921_new.avi,none,none,TRUE
23,22.0418,MVI_0931_new.avi,none,none,TRUE
24,23.0415,MVI_0929_new.avi,none,none,TRUE
25,24.0416,MVI_0929_new.avi,0.56507,b,TRUE
26,25.0417,MVI_0932_new.avi,none,none,TRUE
27,26.0416,MVI_0934_new.avi,none,none,TRUE
28,27.0418,MVI_0936_new.avi,none,none,TRUE
29,28.0416,MVI_0936_new.avi,0.63163,b,TRUE
30,29.0417,MVI_0919_new.avi,none,none,TRUE
31,30.0416,MVI_0915_new.avi,none,none,TRUE
32,31.0416,MVI_0920_new.avi,none,none,TRUE
33,32.0489,Leaves.avi,none,none,TRUE
34,33.0756,Leaves.avi,0.5904,b,TRUE
35,34.0489,StopWatch.avi,none,none,TRUE
36,35.0491,Coffee.avi,none,none,TRUE
37,36.0489,Opener.avi,none,none,TRUE
38,37.049,Fan.avi,none,none,TRUE
39,38.049,Water.avi,none,none,TRUE
40,39.049,RecPlayer.avi,none,none,TRUE
41,40.0484,Globe.avi,none,none,TRUE
42,41.0491,Discs.avi,none,none,TRUE
43,42.049,Discs.avi,0.75052,b,TRUE
44,43.0491,Candle.avi,none,none,TRUE
45,44.0491,Flag.avi,none,none,TRUE
46,45.048,Tennis.avi,none,none,TRUE
47,46.049,Tire.avi,none,none,TRUE
48,47.049,Toilet.avi,none,none,TRUE
49,48.0541,MVI_0934_new.avi,none,none,TRUE
50,49.0759,MVI_0932_new.avi,none,none,TRUE
51,50.0674,MVI_0921_new.avi,none,none,TRUE
52,51.0554,MVI_0921_new.avi,0.69452,b,TRUE
53,52.0554,MVI_0931_new.avi,none,none,TRUE
54,53.0546,MVI_0936_new.avi,none,none,TRUE
55,54.0545,MVI_0920_new.avi,none,none,TRUE
56,55.0555,MVI_0920_new.avi,0.69596,b,TRUE
57,56.0553,MVI_0922_new.avi,none,none,TRUE
58,57.0549,MVI_0937_new.avi,none,none,TRUE
59,58.0555,MVI_0919_new.avi,none,none,TRUE
60,59.0554,MVI_0935_new.avi,none,none,TRUE
61,60.0555,MVI_0930_new.avi,none,none,TRUE
62,61.0555,MVI_0917_new.avi,none,none,TRUE
63,62.0547,MVI_0929_new.avi,none,none,TRUE
64,63.055,MVI_0915_new.avi,none,none,TRUE
65,64.0592,Opener.avi,none,none,TRUE
66,65.0827,Flag.avi,none,none,TRUE
67,66.0606,StopWatch.avi,none,none,TRUE
68,67.0604,RecPlayer.avi,none,none,TRUE
69,68.0605,Water.avi,none,none,TRUE
70,69.0606,Fan.avi,none,none,TRUE
71,70.0603,Candle.avi,none,none,TRUE
72,71.0605,Tennis.avi,none,none,TRUE
73,72.0605,Tire.avi,none,none,TRUE
74,73.0606,Leaves.avi,none,none,TRUE
75,74.0605,Coffee.avi,none,none,TRUE
76,75.0605,Coffee.avi,0.6896,b,TRUE
77,76.0606,Globe.avi,none,none,TRUE
78,77.0605,Toilet.avi,none,none,TRUE
