Subject	StimName	StimNum	Rank	Wins	Loses	Total
MRI_faces_144	1007.jpg	1	3.755918e-01	3	7	10
MRI_faces_144	1013.jpg	2	1.648402e-01	0	10	10
MRI_faces_144	1017.jpg	3	5.344110e-01	5	4	9
MRI_faces_144	1019.jpg	4	3.472524e-01	3	7	10
MRI_faces_144	1027.jpg	5	4.875315e-01	5	5	10
MRI_faces_144	1031.jpg	6	4.313800e-01	5	5	10
MRI_faces_144	1035.jpg	7	3.112308e-01	1	9	10
MRI_faces_144	1050.jpg	8	5.666714e-01	6	4	10
MRI_faces_144	1052.jpg	9	7.636209e-02	0	10	10
MRI_faces_144	1060.jpg	10	2.662444e-01	3	7	10
MRI_faces_144	1073.jpg	11	1.468736e-01	1	9	10
MRI_faces_144	1080.jpg	12	1.287963e-01	0	10	10
MRI_faces_144	1114.jpg	13	2.325969e-01	2	8	10
MRI_faces_144	1127.jpg	14	1.706928e-01	1	9	10
MRI_faces_144	1130.jpg	15	4.713651e-01	5	5	10
MRI_faces_144	1145.jpg	16	3.189408e-01	4	6	10
MRI_faces_144	1146.jpg	17	1.876700e-01	1	9	10
MRI_faces_144	1150.jpg	18	2.785152e-01	2	8	10
MRI_faces_144	1173.jpg	19	3.910406e-01	4	6	10
MRI_faces_144	1183.jpg	20	2.298525e-01	1	9	10
MRI_faces_144	1191.jpg	21	2.482884e-01	1	9	10
MRI_faces_144	1192.jpg	22	1.411067e-01	1	9	10
MRI_faces_144	1202.jpg	23	3.938770e-01	4	6	10
MRI_faces_144	1204.jpg	24	3.380965e-01	2	8	10
MRI_faces_144	1210.jpg	25	4.853416e-02	0	10	10
MRI_faces_144	1216.jpg	26	2.960889e-01	2	8	10
MRI_faces_144	1226.jpg	27	4.733743e-01	4	6	10
MRI_faces_144	1246.jpg	28	3.490122e-01	4	5	9
MRI_faces_144	1255.jpg	29	3.850061e-01	4	6	10
MRI_faces_144	1262.jpg	30	5.012800e-01	5	5	10
MRI_faces_144	2006.jpg	31	8.025859e-01	9	1	10
MRI_faces_144	2010.jpg	32	6.377405e-01	7	3	10
MRI_faces_144	2015.jpg	33	8.563627e-01	8	2	10
MRI_faces_144	2024.jpg	34	7.261532e-01	8	2	10
MRI_faces_144	2039.jpg	35	8.615470e-01	10	0	10
MRI_faces_144	2041.jpg	36	6.738251e-01	7	3	10
MRI_faces_144	2043.jpg	37	6.023913e-01	7	3	10
MRI_faces_144	2045.jpg	38	7.296160e-01	7	3	10
MRI_faces_144	2053.jpg	39	6.896773e-01	7	3	10
MRI_faces_144	2058.jpg	40	7.006812e-01	9	1	10
MRI_faces_144	2063.jpg	41	7.651449e-01	8	2	10
MRI_faces_144	2089.jpg	42	6.266634e-01	7	3	10
MRI_faces_144	2094.jpg	43	4.796652e-01	4	6	10
MRI_faces_144	2110.jpg	44	4.897211e-01	5	5	10
MRI_faces_144	2112.jpg	45	8.773991e-01	10	0	10
MRI_faces_144	2118.jpg	46	5.716125e-01	6	4	10
MRI_faces_144	2125.jpg	47	7.656427e-01	9	1	10
MRI_faces_144	2128.jpg	48	6.534805e-01	8	2	10
MRI_faces_144	2149.jpg	49	5.593631e-01	5	5	10
MRI_faces_144	2153.jpg	50	7.856961e-01	9	1	10
MRI_faces_144	2155.jpg	51	5.542481e-01	4	6	10
MRI_faces_144	2164.jpg	52	3.519816e-01	3	7	10
MRI_faces_144	2181.jpg	53	9.617334e-01	10	0	10
MRI_faces_144	2194.jpg	54	8.120634e-01	9	1	10
MRI_faces_144	2209.jpg	55	4.854076e-01	4	6	10
MRI_faces_144	2212.jpg	56	8.147368e-01	9	1	10
MRI_faces_144	2218.jpg	57	6.386655e-01	7	3	10
MRI_faces_144	2229.jpg	58	8.010002e-01	9	1	10
MRI_faces_144	2240.jpg	59	5.117566e-01	5	5	10
MRI_faces_144	2248.jpg	60	9.209141e-01	10	0	10
