trial,time,stimulus,RT,KeyPressed,Is correct
1,,Fixation,,,
2,,Fixation,,,
3,,Fixation,,,
4,,Fixation,,,
5,,Fixation,,,
6,,Fixation,,,
7,,Fixation,,,
8,,Fixation,,,
9,,Fixation,,,
10,,Fixation,,,
11,,Fixation,,,
12,,Fixation,,,
13,,Fixation,,,
14,,Fixation,,,
15,,Fixation,,,
16,,Fixation,,,
17,16.0461,MVI_0919_new.avi,none,none,TRUE
18,17.043,MVI_0930_new.avi,none,none,TRUE
19,18.0436,MVI_0932_new.avi,none,none,TRUE
20,19.0444,MVI_0929_new.avi,none,none,TRUE
21,20.0438,MVI_0921_new.avi,none,none,TRUE
22,21.0442,MVI_0934_new.avi,none,none,TRUE
23,22.0444,MVI_0917_new.avi,none,none,TRUE
24,23.0442,MVI_0920_new.avi,none,none,TRUE
25,24.0438,MVI_0920_new.avi,0.66542,b,TRUE
26,25.0445,MVI_0931_new.avi,none,none,TRUE
27,26.0443,MVI_0915_new.avi,none,none,TRUE
28,27.0445,MVI_0936_new.avi,0.70616,b,FALSE
29,28.0442,MVI_0937_new.avi,none,none,TRUE
30,29.0444,MVI_0937_new.avi,0.7047,b,TRUE
31,30.0435,MVI_0935_new.avi,none,none,TRUE
32,31.0443,MVI_0922_new.avi,none,none,TRUE
33,32.0513,Flag.avi,none,none,TRUE
34,33.0773,Coffee.avi,none,none,TRUE
35,34.0512,RecPlayer.avi,none,none,TRUE
36,35.051,RecPlayer.avi,none,none,FALSE
37,36.0513,Discs.avi,0.020066,b,FALSE
38,37.0512,Fan.avi,none,none,TRUE
39,38.0512,Leaves.avi,none,none,TRUE
40,39.0513,Toilet.avi,none,none,TRUE
41,40.0512,Tire.avi,none,none,TRUE
42,41.0513,Globe.avi,none,none,TRUE
43,42.0512,Globe.avi,0.55582,b,TRUE
44,43.0514,StopWatch.avi,none,none,TRUE
45,44.0513,Tennis.avi,none,none,TRUE
46,45.0513,Opener.avi,none,none,TRUE
47,46.0512,Candle.avi,none,none,TRUE
48,47.0513,Water.avi,none,none,TRUE
49,48.056,MVI_0932_new.avi,0.69863,b,FALSE
50,49.076,MVI_0921_new.avi,0.86851,b,FALSE
51,50.0574,MVI_0931_new.avi,none,none,TRUE
52,51.057,MVI_0934_new.avi,0.015841,b,FALSE
53,52.0574,MVI_0930_new.avi,0.020474,b,FALSE
54,53.0573,MVI_0917_new.avi,0.1796,b,FALSE
55,54.0573,MVI_0922_new.avi,0.018276,b,FALSE
56,55.0574,MVI_0937_new.avi,none,none,TRUE
57,56.0574,MVI_0937_new.avi,0.54197,b,TRUE
58,57.0574,MVI_0929_new.avi,none,none,TRUE
59,58.0573,MVI_0919_new.avi,0.10553,b,FALSE
60,59.0574,MVI_0936_new.avi,0.09588,b,FALSE
61,60.0575,MVI_0915_new.avi,none,none,TRUE
62,61.0574,MVI_0920_new.avi,0.14548,b,FALSE
63,62.0575,MVI_0935_new.avi,none,none,TRUE
64,63.0575,MVI_0935_new.avi,0.62796,b,TRUE
65,64.0609,Fan.avi,0.79141,b,FALSE
66,65.0841,Fan.avi,0.75139,b,TRUE
67,66.0619,RecPlayer.avi,none,none,TRUE
68,67.0623,Tennis.avi,0.020546,b,FALSE
69,68.0622,Globe.avi,0.020769,b,FALSE
70,69.0622,Opener.avi,0.020876,b,FALSE
71,70.0622,StopWatch.avi,0.018092,b,FALSE
72,71.0623,Candle.avi,0.016224,b,FALSE
73,72.0622,Discs.avi,0.020939,b,FALSE
74,73.0623,Toilet.avi,0.021068,b,FALSE
75,74.0622,Water.avi,0.021288,b,FALSE
76,75.0623,Water.avi,0.022174,b,TRUE
